level	expertise
i	s
0	
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	"expertise_fs_path_remorseless_nature_1,expertise_fs_path_remorseless_nature_2,expertise_fs_path_remorseless_nature_3,expertise_fs_path_remorseless_nature_4,expertise_fs_path_force_choke_1"
11	
12	expertise_fs_path_brutality_1
13	
14	expertise_fs_path_brutality_2
15	
16	expertise_fs_path_brutality_3
17	
18	expertise_fs_path_brutality_4
19	
20	expertise_fs_path_dark_lightning_1
21	
22	expertise_fs_path_cloud_minds_1
23	
24	expertise_fs_general_crippling_accuracy_1
25	
26	expertise_fs_general_crippling_accuracy_2
27	
28	expertise_fs_general_crippling_accuracy_3
29	
30	expertise_fs_general_crippling_accuracy_4
31	
32	expertise_fs_general_alacrity_1
33	
34	expertise_fs_general_alacrity_2
35	
36	expertise_fs_general_alacrity_3
37	
38	expertise_fs_general_alacrity_4
39	
40	expertise_fs_general_stance_saber_block_1
41	
42	expertise_fs_general_improved_saber_block_1
43	
44	expertise_fs_general_improved_saber_block_2
45	
46	expertise_fs_general_improved_saber_block_3
47	
48	expertise_fs_general_force_cloak_1
49	
50	expertise_fs_general_improved_force_cloak_1
51	
52	expertise_fs_general_heightened_speed_1
53	
54	expertise_fs_general_heightened_speed_2
55	
56	expertise_fs_general_heightened_speed_3
57	
58	expertise_fs_general_force_shockwave_1
59	
60	expertise_fs_path_cautious_nature_1
61	
62	expertise_fs_path_cautious_nature_2
63	
64	expertise_fs_path_cautious_nature_3
65	
66	expertise_fs_path_cautious_nature_4
67	
68	expertise_fs_path_wracking_energy_1
69	
70	expertise_fs_path_soothing_aura_1
71	
72	expertise_fs_path_soothing_aura_2
73	
74	expertise_fs_path_soothing_aura_3
75	
76	expertise_fs_path_soothing_aura_4
77	
78	expertise_fs_path_hermetic_touch_1
79	
80	
81	
82	
83	
84	
85	
86	
87	
88	
89	
90	
