questZone	shipList	validSpawns	giveSpawnWaypoint	spawnsForWaypointsOnly	killCount	killVariance	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	triggerEndsMission	triggerDelay	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	i	i	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	i	i	s	s
space_endor	reb_awing_tier3		0	0	10	0	splitquest	triggerOn	rescue:tatooine_imperial_tier3_4_a		-1	0	5	0	0		pilot_profession
	reb_awing_tier4																
	reb_bwing_tier3																
	reb_bwing_tier4																
	reb_ywing_tier3																
	reb_ywing_tier4																
	reb_z95_tier3																
	reb_z95_tier4																
	reb_xwing_tier3																
	reb_xwing_tier4																
