questZone	shipList	validSpawns	giveSpawnWaypoint	spawnsForWaypointsOnly	killCount	killVariance	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	triggerEndsMission	triggerDelay	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	i	i	i	e(none=0,splitquest=1,surpriseattack=2)[none]	e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]	s	s	i	i	i	i	i	s	s
space_corellia	imp_decimator_tier1		0	1	30	0	none	triggerOn			0	0	0	0	0		
	imp_imperial_gunboat_tier1																
	imp_lambda_shuttle_tier1																
	imp_ss_tie_advanced_tier1																
	imp_ss_tie_bomber_tier1																
	imp_ss_tie_fighter_tier1																
	imp_tie_advanced_tier1																
	imp_tie_aggressor_tier1																
	imp_tie_bomber_tier1																
	imp_tie_fighter_tier1																
	imp_tie_interceptor_tier1																
	imp_tie_oppressor_tier1																
