questZone	shipList	validSpawns	giveSpawnWaypoint	spawnsForWaypointsOnly	killCount	killVariance	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	triggerEndsMission	triggerDelay	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	i	i	i	e(none=0,splitquest=1,surpriseattack=2)[none]	e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]	s	s	i	i	i	i	i	s	s
space_corellia	reb_awing_tier1		0	1	30	0	none	triggerOn			0	0	0	0	0		
	reb_bwing_tier1																
	reb_corsec_fighter_tier1																
	reb_gunboat_tier1																
	reb_xwing_cadet_tier1																
	reb_xwing_tier1																
	reb_ykl37r_tier1																
	reb_ywing_tier1																
	reb_z95_tier1																
