commandName	baseCommandName	level
s	s	i
fs_dm_cc_2	fs_dm_cc_1	26
fs_dm_3	fs_dm_2	30
fs_ae_dm_cc_2	fs_ae_dm_cc_1	32
fs_sh_1	fs_sh_0	34
fs_sweep_3	fs_sweep_1	38
fs_dm_4	fs_dm_3	42
fs_dm_cc_3	fs_dm_cc_1	42
fs_ae_dm_cc_3	fs_ae_dm_cc_1	46
fs_maelstrom_2	fs_maelstrom_1	46
fs_dm_cc_crit_2	fs_dm_cc_crit_1	48
fs_sweep_5	fs_sweep_1	54
fs_dm_cc_4	fs_dm_cc_1	58
fs_sh_2	fs_sh_1	58
fs_ae_dm_cc_4	fs_ae_dm_cc_1	60
fs_maelstrom_3	fs_maelstrom_1	60
fs_dm_cc_crit_3	fs_dm_cc_crit_1	62
fs_dm_5	fs_dm_1	66
fs_sweep_6	fs_sweep_1	70
fs_ae_dm_cc_5	fs_ae_dm_cc_1	74
fs_maelstrom_4	fs_maelstrom_1	74
fs_dm_cc_5	fs_dm_cc_1	74
fs_dm_cc_crit_4	fs_dm_cc_crit_1	76
fs_sh_3	fs_sh_1	82
fs_sweep_7	fs_sweep_1	82
fs_dm_cc_6	fs_dm_cc_1	90
fs_dm_cc_crit_5	fs_dm_cc_crit_1	90
fs_ae_dm_cc_6	fs_ae_dm_cc_1	90
fs_maelstrom_5	fs_maelstrom_1	90
fs_drain_2	fs_drain_1	42
fs_drain_3	fs_drain_1	58
fs_drain_4	fs_drain_1	74
fs_drain_5	fs_drain_1	90
fs_flurry_2	fs_flurry_1	22
fs_flurry_3	fs_flurry_1	34
fs_flurry_4	fs_flurry_1	48
fs_flurry_5	fs_flurry_1	60
fs_flurry_6	fs_flurry_1	72
fs_flurry_7	fs_flurry_1	86
bh_dm_crit_4	bh_dm_crit_3	34
bh_dm_crit_5	bh_dm_crit_3	48
bh_dm_crit_6	bh_dm_crit_3	62
bh_dm_crit_7	bh_dm_crit_3	76
bh_dm_crit_8	bh_dm_crit_3	90
bh_intimidate_2	bh_intimidate_1	34
bh_intimidate_3	bh_intimidate_1	48
bh_intimidate_4	bh_intimidate_1	62
bh_intimidate_5	bh_intimidate_1	76
bh_intimidate_6	bh_intimidate_1	90
bh_sniper_2	bh_sniper_1	34
bh_sniper_3	bh_sniper_1	48
bh_sniper_4	bh_sniper_1	62
bh_sniper_5	bh_sniper_1	76
bh_sniper_6	bh_sniper_1	90
bh_armor_duelist_2	bh_armor_duelist_1	48
bh_armor_duelist_3	bh_armor_duelist_1	62
bh_armor_duelist_4	bh_armor_duelist_1	76
bh_armor_duelist_5	bh_armor_duelist_1	90
sm_bad_odds_2	sm_bad_odds_1	46
sm_bad_odds_3	sm_bad_odds_1	58
