indexColor	maxHue	armorType	strTemplate
i[-1]	i[-1]	i[-1]	s
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bicep_l.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bicep_r.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_boots.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bracer_l.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bracer_r.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_chest_plate.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_gloves.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_helmet.iff
		2	object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_leggings.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_bicep_l.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_bicep_r.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_boots.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_bracer_l.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_bracer_r.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_chest_plate.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_gloves.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_helmet.iff
		0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_leggings.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_bicep_l.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_bicep_r.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_boots.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_bracer_l.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_bracer_r.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_chest_plate.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_gloves.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_helmet.iff
		1	object/tangible/wearables/armor/stormtrooper/armor_stormtrooper_leggings.iff
