indexColor	maxHue	armorType	strTemplate
i[-1]	i[-1]	i[-1]	s
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_chest_plate.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_leggings.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_helmet.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_bicep_l.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_bicep_r.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_bracer_l.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_bracer_r.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_gloves.iff
1	95	1	object/tangible/wearables/armor/bone/armor_bone_s01_boots.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_chest_plate.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_leggings.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_helmet.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_bicep_l.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_bicep_r.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_bracer_l.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_bracer_r.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_gloves.iff
1	9	2	object/tangible/wearables/armor/chitin/armor_chitin_s01_boots.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_chest_plate.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_leggings.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_helmet.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_bicep_l.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_bicep_r.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_bracer_l.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_bracer_r.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_gloves.iff
2	143	2	object/tangible/wearables/armor/composite/armor_composite_boots.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_bicep_l.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_bicep_r.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_boots.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_bracer_l.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_bracer_r.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_chest_plate.iff
5	143	1	object/tangible/wearables/armor/marauder/armor_marauder_s01_gloves.iff
