indexColor	maxHue	armorType	strTemplate
i[-1]	i[-1]	i[-1]	s
		0	object/tangible/wearables/armor/marine/armor_marine_bicep_l.iff
		0	object/tangible/wearables/armor/marine/armor_marine_bicep_r.iff
		0	object/tangible/wearables/armor/marine/armor_marine_boots.iff
		0	object/tangible/wearables/armor/marine/armor_marine_bracer_l.iff
		0	object/tangible/wearables/armor/marine/armor_marine_bracer_r.iff
		0	object/tangible/wearables/armor/marine/armor_marine_chest_plate.iff
		0	object/tangible/wearables/armor/marine/armor_marine_gloves.iff
		0	object/tangible/wearables/armor/marine/armor_marine_helmet.iff
		0	object/tangible/wearables/armor/marine/armor_marine_leggings.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_bicep_l.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_bicep_r.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_boots.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_bracer_l.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_bracer_r.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_chest_plate.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_gloves.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_helmet.iff
		2	object/tangible/wearables/armor/rebel_assault/armor_rebel_assault_leggings.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bicep_l.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bicep_r.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_boots.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bracer_l.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_bracer_r.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_chest_plate.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_gloves.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_helmet.iff
		1	object/tangible/wearables/armor/rebel_battle/armor_rebel_battle_leggings.iff
