spawns	name	boss	boss_name	boss_chance	respawn_time	script	loc_x	loc_y	loc_z	room	yaw
s	s	s[none]	s	i	i	s	f	f	f	s	f
object/tangible/quest/sennex_hq_databank.iff							-80.7	-28	52.9	armory	0
object/tangible/quest/sennex_hq_computer_terminal.iff							-96.9041	-28	127.2	barracks	-179.989
sennex_guard					180	theme_park.dungeon.generic_death	-81.3517	-28	102.956	barracks	-13.7719
sennex_lookout					180	theme_park.dungeon.generic_death	-99.2348	-28	121.863	barracks	125.737
sennex_warder					180	theme_park.dungeon.generic_death	-102.206	-28	103.146	barracks	164.204
sennex_lookout					180	theme_park.dungeon.generic_death	-99.1988	-28	102.387	barracks	-5.08328
sennex_guard					180	theme_park.dungeon.generic_death	-80.1	-28	121.6	barracks	0
sennex_warder					180	theme_park.dungeon.generic_death	-102.758	-28	119.842	barracks	103.118
object/tangible/quest/sennex_hq_computer_terminal.iff							3.59003	-16	115.248	computer	180
object/tangible/quest/sennex_hq_computer_terminal.iff							9	-16	120.377	computer	91.4817
object/tangible/quest/sennex_hq_computer_terminal.iff							27	-16	121.055	computer	-93.0648
object/tangible/quest/sennex_hq_computer_terminal.iff							3.42748	-16	126.5	computer	-1.14718
object/tangible/quest/sennex_hq_computer_terminal.iff							-20	-16	121.747	computer	90.1461
object/tangible/quest/sennex_hq_computer_terminal.iff							-2	-16	121.76	computer	-88.1516
sennex_guard					180	theme_park.dungeon.generic_death	-2.25852	-16	107.435	computer	136.168
sennex_guard					180	theme_park.dungeon.generic_death	9.14585	-16	108.356	computer	-98.7707
sennex_guard					180	theme_park.dungeon.generic_death	19.2102	-16	116.125	computer	99.2448
sennex_guard					180	theme_park.dungeon.generic_death	17.9878	-16	124.214	computer	-166.032
sennex_lookout					180	theme_park.dungeon.generic_death	9.75884	-16	135.332	computer	173.069
sennex_guard					180	theme_park.dungeon.generic_death	-2.68027	-16	135.385	computer	121.388
object/tangible/quest/sennex_hq_computer_terminal.iff							8.09671	-12	54.4	entryb	-171.902
sennex_hunter					180	theme_park.dungeon.generic_death	7.22516	-12	25.5	entryb	-84.6124
sennex_lookout					180	theme_park.dungeon.generic_death	-1.11242	-12	30.9391	entryb	140.689
sennex_lookout					180	theme_park.dungeon.generic_death	3.1	-12	49.9	entryb	84.2577
