object	stage	triggerId	location_type	locx	locy	locz	yaw	patrolType	script	objVar	path
s	i[-1]	s[none]	"e(offset=0,literal=1)[offset]"	f[0]	f[0]	f[0]	f[0]	"e(none=0,patrol=1,patrol_once=2,patrol_flip=3,patrol_flip_once=4,patrol_random=5,patrol_random_once=6)[none]"	s[none]	s[none]	s
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5382	80	5572	0			string:wp_name=imperial_soldier_01_01	imperial_soldier_01_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5384	80	5572	0			string:wp_name=imperial_soldier_02_01	imperial_soldier_02_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5572	0			string:wp_name=imperial_soldier_03_01	imperial_soldier_03_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5388	80	5572	0			string:wp_name=imperial_soldier_04_01	imperial_soldier_04_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5390	80	5572	0			string:wp_name=imperial_soldier_05_01	imperial_soldier_05_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5578	0			string:wp_name=imperial_soldier_06_01	imperial_soldier_06_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5382	80	5573	0			string:wp_name=imperial_soldier_01_02	imperial_soldier_01_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5384	80	5573	0			string:wp_name=imperial_soldier_02_02	imperial_soldier_02_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5573	0			string:wp_name=imperial_soldier_03_02	imperial_soldier_03_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5388	80	5573	0			string:wp_name=imperial_soldier_04_02	imperial_soldier_04_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5390	80	5573	0			string:wp_name=imperial_soldier_05_02	imperial_soldier_05_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5382	80	5574	0			string:wp_name=imperial_soldier_01_03	imperial_soldier_01_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5384	80	5574	0			string:wp_name=imperial_soldier_02_03	imperial_soldier_02_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5574	0			string:wp_name=imperial_soldier_03_03	imperial_soldier_03_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5388	80	5574	0			string:wp_name=imperial_soldier_04_03	imperial_soldier_04_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5390	80	5574	0			string:wp_name=imperial_soldier_05_03	imperial_soldier_05_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5382	80	5575	0			string:wp_name=imperial_soldier_01_04	imperial_soldier_01_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5384	80	5575	0			string:wp_name=imperial_soldier_02_04	imperial_soldier_02_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5575	0			string:wp_name=imperial_soldier_03_04	imperial_soldier_03_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5388	80	5575	0			string:wp_name=imperial_soldier_04_04	imperial_soldier_04_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5390	80	5575	0			string:wp_name=imperial_soldier_05_04	imperial_soldier_05_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5382	80	5576	0			string:wp_name=imperial_soldier_01_05	imperial_soldier_01_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5384	80	5576	0			string:wp_name=imperial_soldier_02_05	imperial_soldier_02_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5576	0			string:wp_name=imperial_soldier_03_05	imperial_soldier_03_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5388	80	5576	0			string:wp_name=imperial_soldier_04_05	imperial_soldier_04_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5390	80	5576	0			string:wp_name=imperial_soldier_05_05	imperial_soldier_05_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5382	80	5577	0			string:wp_name=imperial_soldier_01_06	imperial_soldier_01_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5384	80	5577	0			string:wp_name=imperial_soldier_02_06	imperial_soldier_02_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5386	80	5577	0			string:wp_name=imperial_soldier_03_06	imperial_soldier_03_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5388	80	5577	0			string:wp_name=imperial_soldier_04_06	imperial_soldier_04_06
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5390	80	5577	0			string:wp_name=imperial_soldier_05_06	imperial_soldier_05_06
restuss_imperial_stormtrooper_st3	3		literal	5382	80	5566	1	patrol_once		int:path=0	
restuss_imperial_stormtrooper_st3	3		literal	5384	80	5566	1	patrol_once		int:path=1	
restuss_imperial_stormtrooper_st3	3		literal	5386	80	5566	1	patrol_once		int:path=2	
restuss_imperial_stormtrooper_st3	3		literal	5388	80	5566	1	patrol_once		int:path=3	
