spawns	name	loc_x	loc_y	loc_z	yaw	script	mood	respawn_time	spawn_objvar
s	s	f	f	f	f	s	s	i	s
object/tangible/gcw/flip_banner_onpole_imperial.iff		5361	80	5761	179				string:faction=2
restuss_elite_dark_trooper		5365	80	5760	132		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5357	80	5760	173		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5357	80	5767	-49		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5365	80	5767	38		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5392	80	5721	149		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5361	80	5718	165		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5398	80	5783	71		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5409	80	5766	112		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5429	80	5805	-92		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5435	80	5823	-92		npc_imperial	240	
