spawns	name	loc_x	loc_y	loc_z	yaw	script	mood	respawn_time	spawn_objvar
s	s	f	f	f	f	s	s	i	s
object/tangible/gcw/flip_banner_onpole_imperial.iff		5255	80	5535	-179				string:faction=2
restuss_elite_dark_trooper		5258	80	5537	1		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5250	80	5537	1		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5250	80	5530	1		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5256	80	5530	1		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5263	80	5544	55		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5231	80	5545	-121		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5231	80	5568	1		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5287	80	5561	75		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5199	80	5553	-90		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5212	80	5564	1		npc_imperial	240	
