object	stage	triggerId	location_type	locx	locy	locz	yaw	patrolType	script	objVar	path
s	i[-1]	s[none]	"e(offset=0,literal=1)[offset]"	f[0]	f[0]	f[0]	f[0]	"e(none=0,patrol=1,patrol_once=2,patrol_flip=3,patrol_flip_once=4,patrol_random=5,patrol_random_once=6)[none]"	s[none]	s[none]	s
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5144	80	5745	-179			string:wp_name=rebel_soldier_01_01	rebel_soldier_01_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5146	80	5747	135			string:wp_name=rebel_soldier_02_01	rebel_soldier_02_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5148	80	5749	135			string:wp_name=rebel_soldier_03_01	rebel_soldier_03_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5142	80	5747	-135			string:wp_name=rebel_soldier_04_01	rebel_soldier_04_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5140	80	5749	-135			string:wp_name=rebel_soldier_05_01	rebel_soldier_05_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5144	80	5747	-179			string:wp_name=rebel_soldier_06_01	rebel_soldier_06_01
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5144	80	5743	-179			string:wp_name=rebel_soldier_01_02	rebel_soldier_01_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5147	80	5745	135			string:wp_name=rebel_soldier_02_02	rebel_soldier_02_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5149	80	5747	135			string:wp_name=rebel_soldier_03_02	rebel_soldier_03_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5141	80	5745	-135			string:wp_name=rebel_soldier_04_02	rebel_soldier_04_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5139	80	5747	-135			string:wp_name=rebel_soldier_05_02	rebel_soldier_05_02
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5145	80	5747	-179			string:wp_name=rebel_soldier_01_03	rebel_soldier_01_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5149	80	5749	135			string:wp_name=rebel_soldier_02_03	rebel_soldier_02_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5150	80	5751	135			string:wp_name=rebel_soldier_03_03	rebel_soldier_03_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5139	80	5749	-135			string:wp_name=rebel_soldier_04_03	rebel_soldier_04_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5138	80	5751	-135			string:wp_name=rebel_soldier_05_03	rebel_soldier_05_03
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5144	80	5741	-179			string:wp_name=rebel_soldier_01_04	rebel_soldier_01_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5149	80	5743	135			string:wp_name=rebel_soldier_02_04	rebel_soldier_02_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5151	80	5745	135			string:wp_name=rebel_soldier_03_04	rebel_soldier_03_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5139	80	5743	-135			string:wp_name=rebel_soldier_04_04	rebel_soldier_04_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5137	80	5745	-135			string:wp_name=rebel_soldier_05_04	rebel_soldier_05_04
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5144	80	5749	-179			string:wp_name=rebel_soldier_01_05	rebel_soldier_01_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5151	80	5751	135			string:wp_name=rebel_soldier_02_05	rebel_soldier_02_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5153	80	5753	135			string:wp_name=rebel_soldier_03_05	rebel_soldier_03_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5137	80	5750	-135			string:wp_name=rebel_soldier_04_05	rebel_soldier_04_05
object/tangible/ground_spawning/patrol_waypoint.iff	1		literal	5145	80	5753	-135			string:wp_name=rebel_soldier_05_05	rebel_soldier_05_05
