name	type	strength	affects_onfoot	affects_vehicle	affects_mount	comments
s	"e(boost=1,snare=2,permaboost=3,permasnare=4,root=5,stun=6)[root]"	f	i[1]	i[0]	i[0]	c
testMedBoost1	boost	5				TESTING ONLY - Do not use
testMedBoost2	boost	15				TESTING ONLY - Do not use
testSpiceBoost1	boost	10				TESTING ONLY - Do not use
testSpiceBoost2	boost	20				TESTING ONLY - Do not use
testColdSnare1	snare	7				TESTING ONLY - Do not use
testColdSnare2	snare	21				TESTING ONLY - Do not use.
testWebSnare1	snare	14				TESTING ONLY - Do not use
testWebSnare2	snare	28				TESTING ONLY - Do not use
testItemBoost1	permaboost	8				TESTING ONLY - Do not use
testItemBoost2	permaboost	16				TESTING ONLY - Do not use
testItemSnare1	permasnare	4				TESTING ONLY - Do not use
testItemSnare2	permasnare	9				TESTING ONLY - Do not use
testVehicleBoost	boost	300	0	1		TESTING ONLY - Do not use
testVehicleSnare	snare	75	0	1		TESTING ONLY - Do not use
testMountBoost	boost	300	0		1	TESTING ONLY - Do not use
testMountSnare	snare	75	0		1	TESTING ONLY - Do not use
testRoot1	root			1	1	TESTING ONLY - Do not use
testRoot2	root			1	1	TESTING ONLY - Do not use
testRoot3	root			1	1	TESTING ONLY - Do not use
burstRun	boost	75				Burst run ability
tranqDart	snare	66				Scout tranquilizer dart
crippleAttack	snare	25				
crippleAttack_1	snare	45				
cripplingShot	snare	25				
cripplingShot_1	snare	45				
kneecapShot	snare	15				
kneecapShot_1	snare	25				
restrainingShot	snare	15				
restrainingShot_1	snare	25				
stoppingShot	root			1	1	
stoppingShot_1	root			1	1	
stoppingShot_2	root			1	1	
concussionShot	root			1	1	
concussionShot_1	root			1	1	
electrolyteDrain	snare	20				
electrolyteDrain_1	snare	40				
cryobanSnare	snare	80				A snare applied to targets within the radius of a cryoban grenade.
armorHinderanceMove	permasnare	0				Movement penalty for wearing uncertified armor
weaponHinderance	permasnare	0				Movement penalty for using a ranged weapon
forceWeaken	snare	15				
forceWeaken_1	snare	25				
forceWave	snare	25				
forceWave_1	snare	45				
forceSuppression	root			1	1	
forceSuppression_1	root			1	1	
stasis	root			1	1	
fs_force_run	boost	125				
forceRun_1	boost	100				
forceRun_2	boost	150				
paralyze	root					
paralyze_1	root					
cyberneticLegs	permaboost	40				granted by cybernetic legs
cyborgBurstRun	boost	90				Cybernetic Burst run ability
avoidIncapacitation	snare	80		1	1	
avoidIncapacitation_1	snare	80		1	1	
avoidIncapacitation_2	snare	80		1	1	
avoidIncapacitation_3	snare	80		1	1	
avoidIncapacitation_4	snare	80		1	1	
avoidIncapacitation_5	snare	80		1	1	
petRunSpeed_1	permaboost	25				
petRunSpeed_2	permaboost	50				
petRunSpeed_3	permaboost	75				
petSnareAttack	snare	25				
petSnareAttack_1	snare	45				
petPinAttack	root					
petPinAttack_1	root					
sl_group_run	boost	50			1	
sl_group_retreat	boost	100			1	
sl_group_charge	boost	100			1	
enfeeble	root					
wavering	snare	80				
stop	root			1	1	
drink_rancoraid	boost	5				
sk_shockWave	root					
invis_urbanStealth	snare	50				stealth sneak
invis_wildernessStealth	snare	50				stealth sneak
invis_forceCloak	snare	50				stealth sneak
startled	snare	30	1	1	1	
caltropSnare	snare	50	1	0	1	caltrop trap snare
sm_ae_dm_cc_1	snare	40				
sm_ae_dm_cc_2	snare	45				
sm_ae_dm_cc_3	snare	50				
sm_ae_dm_cc_4	snare	55				
sm_ae_dm_cc_5	snare	60				
sm_ae_dm_cc_6	snare	65				
sm_dm_cc_1	snare	65				
sm_dm_cc_2	snare	65				
sm_dm_cc_3	snare	65				
sm_dm_cc_4	snare	65				
sm_dm_cc_5	snare	65				
sm_dm_cc_6	snare	65				
sm_dm_cc_7	snare	65				
sm_melee_stun	root		1	1	1	
sm_false_hope	root		1	1	1	
bh_dm_cc_1	snare	50
bh_dm_cc_2	snare	62
bh_dm_cc_3	snare	75
co_del_ae_cc_1_1	snare	65
co_del_ae_cc_1_2	snare	65
co_del_ae_cc_1_3	snare	65
co_position_secured	root	
invis_stealth	snare	50
smugglerDebuffMez_1	snare	65
smugglerDebuffMez_2	snare	65
smugglerDebuffMez_3	snare	65
fsDebuffSnare_1	snare	50
fsDebuffSnare_2	snare	62
fsDebuffSnare_3	snare	75
fsBuffSpeedBoost_1	boost	75
fsBuffSpeedBoost_2	boost	100
fsBuffSpeedBoost_3	boost	150
co_del_ae_cc_2_1	snare	50
co_del_ae_cc_2_2	snare	62
co_del_ae_cc_2_3	snare	75
sm_del_dm_cc_1	snare	50
sm_del_dm_cc_2	snare	55
sm_del_dm_cc_3	snare	60
sm_del_dm_cc_4	snare	65
sm_del_dm_cc_5	snare	70
sm_del_dm_cc_6	snare	75
bh_del_cc_1	snare	50
bh_del_cc_2	snare	62
bh_del_cc_3	snare	75
bh_del_dm_cc_dot_1	snare	50
bh_del_dm_cc_dot_2	snare	62
bh_del_dm_cc_dot_3	snare	75
fs_choke_snare	snare	75				
sp_cc_dot	snare	55				
fs_dm_cc_crit	snare	50				
fs_buff_movement_1	boost	200				
towForemanBurstRun	boost	30				
invis_sp_buff_invis_1	snare	80		1	1	smoke bomb
invis_sp_buff_invis_2	snare	90		1	1	removed
invis_sp_buff_invis_3	snare	90		1	1	removed
invis_sp_buff_stealth_1	snare	25				regular stealth
invis_sp_buff_stealth_2	snare	35				removed
invis_sp_buff_stealth_3	snare	25				removed
invis_sp_buff_stealth_4	snare	10				removed
forceThrow	snare	50	1	0	1	caltrop trap snare
fs_force_throw_1	snare	60				
fs_force_throw_2	snare	65				
fs_force_throw_3	snare	70				
fs_force_throw_4	snare	75
fs_force_throw_root	root	
fs_ae_dm_cc_0	snare	50
fs_ae_dm_cc_1	snare	50
fs_ae_dm_cc_2	snare	50
fs_ae_dm_cc_3	snare	50
fs_ae_dm_cc_4	snare	50
fs_ae_dm_cc_5	snare	50
fs_ae_dm_cc_6	snare	50
fs_maelstrom_1	snare	50
fs_maelstrom_2	snare	50
fs_maelstrom_3	snare	50
fs_maelstrom_4	snare	50
fs_maelstrom_5	snare	50
of_ae_dm_cc_1	snare	20
of_ae_dm_cc_2	snare	35
of_ae_dm_cc_3	snare	50			
sarlaccSnare	snare	66			
bh_stun	root		1	1	1
bh_power_sprint	boost	60			
invis_fs_buff_invis_1	snare	50		1	1
fs_dm_cc_1_root	root			1	1
fs_dm_cc_2_root	root			1	1
fs_dm_cc_3_root	root			1	1
fs_dm_cc_4_root	root			1	1
fs_dm_cc_5_root	root			1	1
fs_dm_cc_6_root	root			1	1
of_scatter_1	boost	30			
of_charge_1	boost	30			
of_vortex_root	root				
of_vortex_snare	snare	80			
sm_narrow_escape_1	boost	10			
sm_narrow_escape_2	boost	15
sm_narrow_escape_3	boost	20
sm_narrow_escape_4	boost	25
sm_ae_dm_cc_melee_1	snare	50
sm_ae_dm_cc_melee_2	snare	55
sm_ae_dm_cc_melee_3	snare	60
sm_ae_dm_cc_melee_4	snare	65
sm_ae_dm_cc_melee_5	snare	70
sm_ae_dm_cc_melee_6	snare	75
sm_dm_cc_melee_1	snare	75
sm_dm_cc_melee_2	snare	75
sm_dm_cc_melee_3	snare	75
sm_dm_cc_melee_4	snare	75
sm_dm_cc_melee_5	snare	75
sm_dm_cc_melee_6	snare	75
sm_dm_cc_melee_7	snare	75
sr88_mine	snare	80				
me_electrolyte_drain_1	snare	55				
me_stasis_1	snare	90				
sp_burst_shadows	permaboost	125				stealth speed increase
sp_ploy_snare	snare	60				
me_cranial_smash_1	snare	25				
me_stasis_self_1	snare	90				
en_sweeping_pirouette_root	root		1	1	1	
en_unhealthy_fixation_debuff	root		1	1	1	
en_spiral_kick_snare	snare	60				
buildabuff_movement_speed	boost	10	1	1	1	Buildabuff speed increase (custom strength)
charge_stun_debuff	root		1	1	1	bm_charge_ temporary stun
bm_charge_1_buff	boost	200				
bm_hamstring_1	snare	70				
bm_hamstring_2	snare	75				
bm_hamstring_3	snare	50				
bm_hamstring_4	snare	85			
bm_hamstring_5	snare	90			
bm_paralytic_poison_recourse	root				
event_run_speed	boost	25	1	1	1
dish_travel_biscuits	boost	15			
drink_accarragm	boost	27			
invis_bothan_ability_1	snare	90		1	1
wookiee_ability_1	snare	65		1	1
bh_dire_root_1	root			1	1
bh_dire_snare_1	snare	75		1	1
ig88_droideka_electrify	root				
ig_head_debuff_1	snare	40			
me_ae_rez_debuff	snare	50			
