dungeon	planet	dungeon_area	start_loc_x	start_loc_y	start_loc_z	start_loc_radius	start_cell_name	exit_planet	exit_loc_x	exit_loc_y	exit_loc_z	exit_loc_radius	max_players	success_string	failure_string	player_script	time_limit	instanceType	lockoutTimer
s	s	s[none]	f	f	f	f	s	s	f	f	f	f	i	s	s	s	i[3600]	s[dungeon_default]	i[0]
test_dungeon	tatooine	test_area	4.39	0.13	2.11	0	room1	tatooine	-331	0	3859	0	8	@dungeon/space_dungeon:test_success	@dungeon/space_dungeon:test_failure	working.player_test_utility			
corvette_neutral	dungeon1		-44	0	0	0	airlock1	tatooine	-5842	90	-6191	0	10	@dungeon/space_dungeon:test_success	@dungeon/space_dungeon:corellian_corvette_travel_fail	theme_park.dungeon.corvette.timer	3600	neutral_assassin:neutral_destroy:neutral_rescue	
corvette_imperial	dungeon1		-44	0	0	0	airlock1	naboo	2445	292	-3913	0	10	@dungeon/space_dungeon:test_success	@dungeon/space_dungeon:corellian_corvette_travel_fail	theme_park.dungeon.corvette.timer	3600	imperial_assassin:imperial_destroy:imperial_rescue	
corvette_rebel	dungeon1		-44	0	0	0	airlock1	corellia	-6460	398	5972	0	10	@dungeon/space_dungeon:test_success	@dungeon/space_dungeon:corellian_corvette_travel_fail	theme_park.dungeon.corvette.timer	3600	rebel_assassin:rebel_destroy:rebel_rescue	
avatar_platform	kashyyyk_pob_dungeons	avatar_platform	215.5	0	35.9	3		kashyyyk_main	-652	19	-112	10	10	jw success	jw travel fail	theme_park.dungeon.avatar_platform.player	14400		
trando_slave_camp	kashyyyk_north_dungeons	slaver	290	-15	-759	3		kashyyyk_main	404	18	656	5	6	test_success	test_fail	theme_park.dungeon.trando_slave_camp.player	5200		
monster_island_hracca	kashyyyk_south_dungeons	hracca	24	3	41	1		kashyyyk_hunting	-99	25	-244	5	8	test_success	test_fail	theme_park.dungeon.hracca_monster_island.player	1800	ep3_hunt_hracca_kkorrwrot_hunt:none	
the_bet_bocctyyy	kashyyyk_south_dungeons	bocctyyy	4.9	0	4.2	3		kashyyyk_hunting	369	41	616	5	6	test_success	test_fail	theme_park.dungeon.bocctyyy_the_bet.player	1220	none:ep3_hunt_sordaan_webweaver_bet:ep3_hunt_sordaan_mouf_bet:ep3_hunt_sordaan_uller_bet:ep3_hunt_sordaan_walluga_bet	
kash_the_arena	kashyyyk_north_dungeons	arena	9.6	1.8	-63.9	0		kashyyyk_dead_forest	-302	38	-208	0	3	test_success	test_fail	theme_park.dungeon.kashyyyk_the_arena.player	1800		
npe_space	space_npe_falcon		-1.6	-1.8	7.3	0	lounge	tutorial	0	0	0	0	1	test_success	test_fail		600		
