skill_mod	profession	category	display	rank	divisor	percent	comment
s	s[ALL]	s	b	i[-1]	i	b	s
combat_slow	ALL	combat	1	3790			*Does this even exist?
invis	ALL	stealth	1	3780			*Does this exist?
private_place_bank	ALL	politics		3770			*Does this exist?
private_place_cityhall	ALL	politics		3760			*Does this exist?
private_place_cloning	ALL	politics		3750			*Does this exist?
private_place_exotic_garden	ALL	politics		3740			*Does this exist?
private_place_garage	ALL	politics		3730			*Does this exist?
private_place_hospital	ALL	politics		3720			*Does this exist?
private_place_large_garden	ALL	politics		3710			*Does this exist?
private_place_medium_garden	ALL	politics		3700			*Does this exist?
private_place_shuttleport	ALL	politics		3690			*Does this exist?
private_place_small_garden	ALL	politics		3680			*Does this exist?
expertise_critical_1h	officer_1a	officer	1	3670	1	1	1-H Critical Chance
expertise_damage_weapon_4	officer_1a	officer	1	3660	1	1	1-Handed Melee Damage
expertise_bm_enhanced_skill_acquisition	ALL	beastmaster	1	3655			Ability Acquisition Bonus
accuracy_modifier	ALL	attributes	1	3650			Accuracy
expertise_dot_duration_line_co_armor_splash	commando_1a	commando	1	3640			Acid DOT Duration
expertise_action_all	ALL	combat	1	3630			Action Cost Reduction
expertise_action_line_sm_dm	smuggler_1a	smuggler	1	3620			Action Decrease
expertise_bm_add_pet_bar	ALL	beastmaster	1	3615			Additional Combat Command
expertise_en_holographic_additional_backup	entertainer_1a	entertainer	1	3610			Additional Holographic Images
advanced_assembly	ALL	trader	1	3600			Advanced Assembly
advanced_ship_experimentation	ALL	trader	1	3590			Advanced Component Experimentation
agility_modified	ALL	attributes	1	3580			Agility
expertise_damage_all	ALL	combat	1	3570	1	1	All Attacks Damage
expertise_action_line_sp_stealth_melee	spy_1a	spy	1	3550			Ambush Action Cost
expertise_cooldown_line_dm_crit	bounty_hunter_1a	bounty_hunter	1	3540			Ambush Cooldown
expertise_critical_line_sp_stealth_melee	spy_1a	spy	1	3530			Ambush Critical Chance
expertise_critical_line_dm_crit	bounty_hunter_1a	bounty_hunter	1	3540			Ambush Critical Chance
expertise_damage_line_dm_crit	bounty_hunter_1a	bounty_hunter	1	3520			Ambush Damage
expertise_damage_line_sp_stealth_melee	spy_1a	spy	1	3510			Ambush Damage Increase
expertise_dot_damage_line_sp_stealth_melee	spy_1a	spy	1	3505	1	1	Ambush DOT Increase
expertise_critical_line_of_aoe	officer_1a	officer	1	3500			AOE Critical Chance
expertise_damage_area_effect	ALL	combat	1	3490			AOE Damage Bonus
area_damage_resist_full_percentage	ALL	combat	1	3480			AOE Resistance
expertise_assembly_increase_architect	ALL	trader	1	3470			Architect Assembly Increase
expertise_complexity_decrease_architect	ALL	trader	1	3460			Architect Complexity Decrease
expertise_experimentation_point_architect	ALL	trader	1	3450			Architect Experiment Point
expertise_experimentation_increase_architect	ALL	trader	1	3440			Architect Experimentation
expertise_action_line_of_aoe	officer_1a	officer	1	3430			Area Effect Action Cost
expertise_damage_line_of_aoe	officer_1a	officer	1	3420			Area Effect Damage
expertise_cooldown_line_me_aoe_revive	medic_1a	medic	1	3410			Area Revive Cooldown
armor_assembly	ALL	trader	1	3400			Armor Assembly
expertise_innate_reduction_all_player	bounty_hunter_1a	combat	1	3395			Armor Break
armor_customization	ALL	trader	1	3390			Armor Customization
expertise_riddle_armor	commando_1a	commando	1	3380			Armor Decrease
armor_experimentation	ALL	trader	1	3370			Armor Experimentation
kill_meter_co_armor_splash_proc	commando_1a	commando	1	3360			Armor Splash Chance
expertise_assembly_increase_armorsmith	ALL	trader	1	3350			Armorsmith Assembly Increase
expertise_complexity_decrease_armorsmith	ALL	trader	1	3340			Armorsmith Complexity Decrease
expertise_experimentation_point_armorsmith	ALL	trader	1	3330			Armorsmith Experiment Point
expertise_experimentation_increase_armorsmith	ALL	trader	1	3320			Armorsmith Experimentation
expertise_freeshot_of_aoe	officer_1a	officer	1	3317			Area Effect Freeshot Chance
fast_attack_line_of_aoe	officer_1a	officer	1	3313			Area Effect Fast Attack
general_assembly	ALL	trader	1	3310			Artisan Assembly
expertise_assembly_increase_artisan	ALL	trader	1	3300			Artisan Assembly Increase
expertise_experimentation_point_artisan	ALL	trader	1	3290			Artisan Experiment Point
expertise_experimentation_increase_artisan	ALL	trader	1	3280			Artisan Experimentation
general_experimentation	ALL	trader	1	3270			Artisan Experimentation
expertise_action_line_sp_dm	spy_1a	spy	1	3260			Assassinate Action Cost
expertise_cooldown_line_sp_dm	spy_1a	spy	1	3257			Assassinate Action Cost
expertise_critical_line_sp_dm	spy_1a	spy	1	3250			Assassinate Critical Chance
expertise_damage_line_sp_dm	spy_1a	spy	1	3240			Assassinate Damage
expertise_freeshot_sp_dm	spy_1a	spy	1	3230			Assassinate Freeshot Chance
fast_attack_line_sp_dm	spy_1a	spy	1	3227			Assassinate Fast-Attack
expertise_action_line_dm_crit	bounty_hunter_1a	bounty_hunter	1	3225			Assault Action Cost
expertise_action_line_dm	bounty_hunter_1a	bounty_hunter	1	3220			Assault Action Cost
expertise_cooldown_line_dm	bounty_hunter_1a	bounty_hunter	1	3210			Assault Cooldown
expertise_critical_line_dm	bounty_hunter_1a	bounty_hunter	1	3200			Assault Critical Chance
expertise_damage_line_dm	bounty_hunter_1a	bounty_hunter	1	3190			Assault Damage
expertise_freeshot_dm	bounty_hunter_1a	bounty_hunter	1	3180			Assault Freeshot
expertise_armorset_glancing_blow_melee_2	ALL	combat	1	3170			Assault Melee Defense
expertise_armorset_glancing_blow_ranged_2	ALL	combat	1	3165			Assault Ranged Defense
expertise_attacker_action_gain	ALL	combat	1	3163	1	1	Attack Damage Action Bonus
expertise_armorset_ranged_dodge_2	ALL	combat	1	3162			Ranged Dodge Chance
expertise_armorset_melee_block_2	ALL	combat	1	3161			Melee Block Chance
expertise_bm_pet_attack_speed	ALL	beastmaster	1	3148			Beast Attack Speed Increase
expertise_bm_self_debuff_reduction	ALL	beastmaster	1	3149			Attention Penalty Reduction
expertise_bm_pet_armor	ALL	beastmaster	1	3147			Beast Armor Percent
expertise_bm_pet_damage	ALL	beastmaster	1	3146			Beast Damage Percent
bm_xp_mod_boost	ALL	beastmaster	1	3144	1	1	Beast Expertise Bonus
expertise_bm_pet_happiness	ALL	beastmaster	1	3141			Beast Happiness
expertise_bm_pet_health	ALL	beastmaster	1	3140			Beast Hitpoint Percent
expertise_bm_pet_movement_rate	ALL	beastmaster	1	3130			Beast Movement Rate
expertise_bm_pet_recovery	ALL	beastmaster	1	3129			Beast Recovery Percent
expertise_bm_pet_regen	ALL	beastmaster	1	3128			Beast Regeneration Rate
expertise_bm_pet_revive_time	ALL	beastmaster	1	3127			Beast Revive Speed
bm_creature_knowledge	ALL	beastmaster	1	3126			Creature Knowledge
absorption_bleeding	ALL	combat	1	3125			Bleeding Absorption
resistance_bleeding	ALL	combat	1	3120			Bleeding Resistance
combat_block_chance	ALL	combat	1	3115			Block Chance
combat_block_value	ALL	combat	1	3114			Block Value
booster_assembly	ALL	trader	1	3110			Booster Assembly
booster_experimentation	ALL	trader	1	3100			Booster Experimentation
bounty_mission_level	bounty_hunter_1a	bounty_hunter	1	3090			Bounty Mission Difficulty
expertise_action_line_sp_burst_shadows	spy_1a	spy	1	3080			Burst of Shadows
expertise_cooldown_line_sp_burst_of_shadows	spy_1a	spy	1	3070			Burst of Shadows Cooldown
expertise_buff_duration_line_sp_burst_shadows	spy_1a	spy	1	3060			Burst of Shadows Duration
expertise_action_line_me_burst	medic_1a	medic	1	3055			Burst Action Cost
camouflage	ALL	stealth	1	3050			Camouflage
expertise_en_performance_increase	entertainer_1a	entertainer	1	3040			Camp Performace Increase
expertise_action_weapon_1	ALL	combat	1	3030			Carbine Action Cost
expertise_critical_carbine	ALL	combat	1	3020	1	1	Carbine Critical Chance
expertise_range_bonus_carbine	ALL	combat	1	3015			Carbine Range Bonus
expertise_damage_weapon_1	ALL	combat	1	3010	1	1	Carbine Damage
expertise_lucky_break_chance	smuggler_1a	smuggler	1	3000			Card Up Your Sleeve
chassis_assembly	ALL	trader	1	2990			Chassis Assembly
chassis_experimentation	ALL	trader	1	2980			Chassis Experimentation
engineering_reverse	ALL	trader	1	2970			Chassis/Armor Reverse Engineering
expertise_assembly_increase_chef	ALL	trader	1	2960			Chef Assembly Increase
expertise_complexity_decrease_chef	ALL	trader	1	2950			Chef Complexity Decrease
expertise_experimentation_point_chef	ALL	trader	1	2940			Chef Experiment Point
expertise_experimentation_increase_chef	ALL	trader	1	2930			Chef Experimentation
expertise_damage_line_fs_dm_cc	force_sensitive_1a	force_sensitive	1	2920	1	1	Choke Damage
expertise_buff_duration_line_fs_dm_cc	force_sensitive_1a	force_sensitive	1	2910			Choke Duration
expertise_root_chance_fs_dm_cc	force_sensitive_1a	force_sensitive	1	2900			Choke Root
clothing_assembly	ALL	trader	1	2890			Clothing Assembly
clothing_customization	ALL	trader	1	2880			Clothing Customization
clothing_experimentation	ALL	trader	1	2870			Clothing Experimentation
expertise_area_size_single_fs_mind_trick_2	force_sensitive_1a	force_sensitive	1	2865			Cloud Minds Size
display_only_block	ALL	combat	1	2859	100	1	Combat Defense: Block
display_only_dodge	ALL	combat	1	2858	100	1	Combat Defense: Dodge
display_only_evasion	ALL	combat	1	2857	100	1	Combat Defense: Evasion
display_only_glancing_blow	ALL	combat	1	2856	100	1	Combat Defense: Glancing Blow
display_only_parry	ALL	combat	1	2855	100	1	Combat Defense: Parry
display_only_expertise_critical_hit_reduction	ALL	combat	1	2854	100	1	Combat Defense: Critical Hit Reduction
display_only_expertise_critical_hit_pvp_reduction	ALL	combat	1	2853	100	1	Combat Defense: PvP Critical Hit Reduction
expertise_hit_by_luck	smuggler_1a	smuggler	1	2852	1	1	Combat Hit Increase Percentage
expertise_miss_by_luck	smuggler_1a	smuggler	1	2851	1	1	Combat Miss Increase Percentage
display_only_parry_reduction	ALL	combat	1	2850	100	1	Combat Offense: Combat Parry Reduction
display_only_critical	ALL	combat	1	2849	100	1	Combat Offense: Critical Chance
display_only_tohit	ALL	combat	1	2848	100	1	Combat Offense: To-hit Bonus
display_only_opp_block_reduction	ALL	combat	1	2847	100	1	Combat Offense: Opponent Block Reduction
display_only_opp_dodge_reduction	ALL	combat	1	2846	100	1	Combat Offense: Opponent Dodge Reduction
display_only_strikethrough	ALL	combat	1	2785	100	1	Combat Offense: Strikethrough
expertise_action_rifle	ALL	combat	1	2784	1	1	Rifle Action Cost Reduction
expertise_action_carbine	ALL	combat	1	2783	1	1	Carbine Action Cost Reduction
expertise_cooldown_line_sm_dm_cc	smuggler_1a	smuggler	1	2448			Concussion Shot Cooldown
expertise_freeshot_sm_dm_cc	smuggler_1a	smuggler	1	2845			Concussion Shot Freeshot Chance
constitution_modified	ALL	attributes	1	2844			Constitution
expertise_damage_convert_to_action	force_sensitive_1a	combat	1	2840			Convert Damage
expertise_bm_train_mount	ALL	beastmaster	1	2835			Create Mount
expertise_critical_niche_creature	ALL	combat	1	2830			Creature Critical Chance
