abilities	handler	target	duration	effect	cooldown	onShipHit	onHittingTarget	onShieldDepleted	onArmorDepleted	onEnterCombat	onDisabled	onDestroy	randomChance
s	s	"e(self=0,primary_enemy=1,random_enemy=2,all_enemies=3,all_ships=4)[primary_enemy]"	i[0]	i[1]	i[1]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]
clearDroidCommands	clearDroidCommands	primary_enemy											
stunEngine	stunEngine	random_enemy											
stunWeapons	stunWeapons	all_enemies	3		50	2							
leachShieldEnergy	leachShieldEnergy	all_enemies	3	500	50								1
removeShieldEnergy	removeShieldEnergy	random_enemy		500	10		10						
restoreShieldEnergy	restoreShieldEnergy	self		1000	50			75					
removeCapacitorEnergy	removeCapacitorEnergy	primary_enemy											
repairComponents	repairComponents	self											
selfDestructExplosion	selfDestructExplosion	self											
