Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	"e(cube=1,spline=2)[cube]"	s	f	f	f	f	f[-1]	s	I	I	f	f	f	f	s	s	i	f	f	s
	cube		400	400	-200	200			30	23459071	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	7000	1000	sound/amb_ast_large_field.snd
	cube		-600	400	600	200			40	987342	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	7000	1000	sound/amb_ast_large_field.snd
	cube		300	525	-1400	350			47	564796	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	7000	1000	sound/amb_ast_large_field.snd
	cube		-720	-2850	3400	450			55	404171	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	7000	1000	sound/amb_ast_large_field.snd
	cube		3200	-700	3786	250			42	87665	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	74	6000	1000	sound/amb_ast_large_field.snd
	cube		3200	900	3430	320			51	9771	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	74	6000	1000	sound/amb_ast_large_field.snd
	cube		3500	-700	3150	250			42	4331	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	74	6000	1000	sound/amb_ast_large_field.snd
	cube		3600	900	3100	320			51	21	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	74	6000	1000	sound/amb_ast_large_field.snd
	cube		3850	-700	3300	250			42	541	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	74	6000	1000	sound/amb_ast_large_field.snd
