Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	"e(cube=1,spline=2)[cube]"	s	f	f	f	f	f[-1]	s	I	I	f	f	f	f	s	s	i	f	f	s
	cube		-3500	-4000	-7000	1121			30	4567	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-5000	-4800	-6400	1240			40	1376	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-6000	-5200	-5000	1087			20	9843	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-5000	-5900	-3500	1301			50	4721	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-4000	-6200	-2000	1400			50	5687	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-3000	-6800	-2600	1200			30	1000	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-2000	-6000	-3000	1045			20	2809	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_asteroid_field	cube		-5601	-239	-4658	1000			30	1690	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_asteroid_field_2	cube		-6406	-4345	-7268	1000			30	1845	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_asteroid_field_3	cube		-7959	-2472	-5066	700			30	8935	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_asteroid_field_4	cube		-3362	-3184	-3464	1000			30	1047	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
pirate asteroid	spline	"602,-4695,2141:82,-4685,-906:5087,-6018,-595:2611,-5414,2626:400,-5412,3427"	5087	-6018	-595	500	100	"1957,-5419,494"	50	3924	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site	cube		-4382	7813	4259	350			50	1945	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_2	cube		-5281	7787	4512	350			50	3823	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_3	cube		-6174	7697	4560	350			50	8467	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_4	cube		-7441	7238	2794	1000			50	9256	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_5	cube		-5124	6301	104	1000			50	5671	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_6	cube		-6827	7543	821	1000			50	9245	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_debris_1	cube		-7441	7238	2794	1000			100	7321	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_xwingvstie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_iron_xwtie_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_debris_2	cube		-5124	6301	104	1000			100	4101	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_xwingvstie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_iron_xwtie_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_construction_site_debris_3	cube		-6827	7543	821	1000			50	9275	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_xwingvstie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_iron_xwtie_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
imperial_cargo_pods	spline	"-4181,7030,2419:-4804,6886,2013"	-4581	7030	2419	100	30	"-518,269,922,219"	35	3019	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_cargo_only.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_tie.iff	10	8000	1000	sound/amb_ast_large_field.snd
junk_pile	cube		-4575	3395	-2117	1000			150	7109	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_xwingvstie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	50	8000	1000	sound/amb_ast_large_field.snd
droid_pile	cube		-6508	252	-262	50			35	3198	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_xwingvstie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	10	8000	1000	sound/amb_ast_large_field.snd
smuggler_cargo_1	spline	"-734,3797,-798:-683,3810,-719"	-734	3797	-798	50			5	7190	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_cargo_only.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	10	8000	1000	sound/amb_ast_large_field.snd
smuggler_cargo_2	spline	"-603,3833,-786:-603,3910,-953"	-603	3833	-786	50			7	4123	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_cargo_only.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	10	8000	1000	sound/amb_ast_large_field.snd
death_watch_1	spline	"3211,-5675,-4222:3789,-4946,-5292:3436,-5292:3436,-4987,-6335:2683,-7870,-6802:745,-7856,-5302:3566,-6545,-4889:3211,-5675,-4222"	2683	-7870	-6802	100	50	"2543,-6863,-5870"	100	9179	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
station_cargo_pods	spline	"-5253,-1598,5781:-4890,-1497,5342"	-4890	-1497	5342	50	30	"-5268,-1500,5209"	25	7777	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_cargo_only.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_tie.iff	10	8000	1000	sound/amb_ast_large_field.snd
ice_field	spline	"-2526,-585,3298:-1596,2490,1351:631,1494,933:650,957,-491:310,10,-4119"	631	1494	933	200			35	9999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_ice.iff	datatables/space/asteroidfield/fieldstyle/radial_ice_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
