Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	"e(cube=1,spline=2)[cube]"	s	f	f	f	f	f[-1]	s	I	I	f	f	f	f	s	s	i	f	f	s
	cube		-7540	2307	-1041	100			15	9999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-7840	2245	-160	100			15	4590	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-7356	2322	-1381	100			15	3571	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-8223	2277	348	100			15	1205	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-7820	2263	-1260	100			15	2314	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-8389	2293	-740	100			15	7890	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-8244	2297	-975	100			15	1234	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-7859	2285	-846	100			15	5683	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-5543	616	-811	700			60	6753	1	1	0	0	datatables/space/asteroidfield/fieldstyle/astroid_iron_debris_small.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_iron_tie_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		-5543	616	-811	400			60	4677	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_iron.iff	datatables/space/asteroidfield/fieldstyle/radial_iron_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
borvo	cube		-3612	-5400	4202	400			30	6983	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_acid.iff	datatables/space/asteroidfield/fieldstyle/radial_acid_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
borvo	cube		-2397	-5363	3105	400			30	4356	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_acid.iff	datatables/space/asteroidfield/fieldstyle/radial_acid_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
borvo	cube		-3252	-5330	11	400			30	9834	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_acid.iff	datatables/space/asteroidfield/fieldstyle/radial_acid_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
borvo	cube		-5331	-5420	2043	400			30	1678	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_acid.iff	datatables/space/asteroidfield/fieldstyle/radial_acid_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
borvo	cube		-3127	-4952	1494	400			30	3921	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_acid.iff	datatables/space/asteroidfield/fieldstyle/radial_acid_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
	cube		3711	3156	7034	600			30	1692	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_iron.iff	datatables/space/asteroidfield/fieldstyle/radial_iron_asteroid_s01.iff	50	8000	1000	sound/amb_ast_large_field.snd
tradefed	cube		2501	-5927	-5499	600			85	7777	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_tradefed_hulk.iff	datatables/space/asteroidfield/fieldstyle/radial_tradefed_hulk_debris.iff	50	8000	1000	
wishing lake	cube		-498	252	2001	700			85	2222	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_tie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_tie.iff	50	8000	1000	
