level1	level2	level3	level4	level5	level6	level7	level8	level9	level10
s	s	s	s	s	s	s	s	s	s
object/tangible/ship/components/weapon/wpn_corellian_cruiser_grade_blaster_mk1.iff	object/tangible/ship/components/weapon/wpn_awing_blaster.iff	object/tangible/ship/components/weapon/wpn_cygnus_destroyer_mk2.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher.iff	object/tangible/ship/components/weapon/wpn_armek_sw4.iff	object/tangible/ship/components/weapon/wpn_armek_sw6.iff	object/tangible/ship/components/weapon/wpn_armek_sw8.iff	object/tangible/ship/components/weapon/wpn_armek_sw7.iff	object/tangible/ship/components/weapon/wpn_armek_advanced.iff	object/tangible/ship/components/weapon/wpn_armek_elite.iff
object/tangible/ship/components/weapon/wpn_cygnus_destroyer_mk1.iff	object/tangible/ship/components/weapon/wpn_bwing_blaster.iff	object/tangible/ship/components/weapon/wpn_freitek_cannoneer_mk1.iff	object/tangible/ship/components/weapon/wpn_incom_tt8.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher_2.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher_3.iff	object/tangible/ship/components/weapon/wpn_corellian_1d.iff	object/tangible/ship/components/weapon/wpn_corellian_ag1g_laser.iff	object/tangible/ship/components/weapon/wpn_borstel_rg9.iff	object/tangible/ship/components/weapon/wpn_corellian_ag2g_quad_laser.iff
object/tangible/ship/components/weapon/wpn_incom_light_blaster.iff	object/tangible/ship/components/weapon/wpn_incom_blaster.iff	object/tangible/ship/components/weapon/wpn_haor_chall_speedblaster.iff	object/tangible/ship/components/weapon/wpn_kdy_pounder_mk1.iff	object/tangible/ship/components/weapon/wpn_incom_tt13.iff	object/tangible/ship/components/weapon/wpn_incom_advanced_blaster.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher_heavy.iff	object/tangible/ship/components/weapon/wpn_cygnus_eradicator_1.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher_elite.iff	object/tangible/ship/components/weapon/wpn_cygnus_elite.iff
object/tangible/ship/components/weapon/wpn_koensayr_light_disruptor.iff	object/tangible/ship/components/weapon/wpn_incom_shredder.iff	object/tangible/ship/components/weapon/wpn_incom_disruptor.iff	object/tangible/ship/components/weapon/wpn_koensayr_deluxe_ion_accelerator.iff	object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_2.iff	object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_3.iff	object/tangible/ship/components/weapon/wpn_incom_heavy_blaster.iff	object/tangible/ship/components/weapon/wpn_gyrhil_auto_blaster.iff	object/tangible/ship/components/weapon/wpn_incom_heavy_quad_blaster.iff	object/tangible/ship/components/weapon/wpn_gyrhil_r9x.iff
object/tangible/ship/components/weapon/wpn_kse_light_disruptor.iff	object/tangible/ship/components/weapon/wpn_koensayr_tuned_light_disruptor.iff	object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator.iff	object/tangible/ship/components/weapon/wpn_mandal_super_mangler.iff	object/tangible/ship/components/weapon/wpn_mandal_qv5_disruptor.iff	object/tangible/ship/components/weapon/wpn_mandal_annilhator_mk1.iff	object/tangible/ship/components/weapon/wpn_mandal_annihilator_mk2.iff	object/tangible/ship/components/weapon/wpn_hk_scorcher_advanced.iff	object/tangible/ship/components/weapon/wpn_kessel_imperial_rendili_prototype_x.iff	object/tangible/ship/components/weapon/wpn_hk_modified_scorcher_elite.iff
object/tangible/ship/components/weapon/wpn_mandal_mangler_mk1.iff	object/tangible/ship/components/weapon/wpn_mandal_enhanced_mangler_mk1.iff	object/tangible/ship/components/weapon/wpn_kse_double_blaster.iff	object/tangible/ship/components/weapon/wpn_rendili_fr9_disruptor.iff	object/tangible/ship/components/weapon/wpn_rendili_fr13_disruptor.iff	object/tangible/ship/components/weapon/wpn_rendili_sc3_disruptor.iff	object/tangible/ship/components/weapon/wpn_rendili_sc8_disruptor.iff	object/tangible/ship/components/weapon/wpn_incom_quad_blaster.iff	object/tangible/ship/components/weapon/wpn_kessel_imperial_sfs_elite_ops.iff	object/tangible/ship/components/weapon/wpn_incom_elite_quad_blaster.iff
object/tangible/ship/components/weapon/wpn_sds_imperial_blaster_1.iff	object/tangible/ship/components/weapon/wpn_moncal_light_blaster.iff	object/tangible/ship/components/weapon/wpn_mandal_qv3_disruptor.iff	object/tangible/ship/components/weapon/wpn_sfs_improved_imperial_blaster_2.iff	object/tangible/ship/components/weapon/wpn_rss_imperial_cannon.iff	object/tangible/ship/components/weapon/wpn_sds_imperial_blaster_2.iff	object/tangible/ship/components/weapon/wpn_sds_imperial_special_forces_cannon.iff	object/tangible/ship/components/weapon/wpn_mandal_heavy_annihilator.iff	object/tangible/ship/components/weapon/wpn_kessel_rebel_incom_dualcore_flashcannon.iff	object/tangible/ship/components/weapon/wpn_kessel_imperial_sds_experimental_secret_ops.iff
object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_1.iff	object/tangible/ship/components/weapon/wpn_seinar_disruptor.iff	object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_2.iff	object/tangible/ship/components/weapon/wpn_subpro_modified_tricannon.iff	object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_3.iff	object/tangible/ship/components/weapon/wpn_sfs_imperial_blaster_4.iff	object/tangible/ship/components/weapon/wpn_seinar_ls1.iff	object/tangible/ship/components/weapon/wpn_sds_heavy_imperial_spc_forces_cannon.iff	object/tangible/ship/components/weapon/wpn_kessel_rebel_riiz_combine_slammer_cannon.iff	object/tangible/ship/components/weapon/wpn_kessel_rebel_unknown_rayslinger.iff
object/tangible/ship/components/weapon/wpn_slayn_light_ioncannon.iff	object/tangible/ship/components/weapon/wpn_seinar_ion_cannon.iff	object/tangible/ship/components/weapon/wpn_slayn_ioncannon.iff	object/tangible/ship/components/weapon/wpn_subpro_tripleblaster.iff	object/tangible/ship/components/weapon/wpn_subpro_advanced_cannon.iff	object/tangible/ship/components/weapon/wpn_subpro_tripleblaster_mark2.iff	object/tangible/ship/components/weapon/wpn_subpro_tripleblaster_mark3.iff	object/tangible/ship/components/weapon/wpn_sfs_imperial_special_forces_blaster.iff	object/tangible/ship/components/weapon/wpn_koensayr_ion_accelerator_advanced.iff	object/tangible/ship/components/weapon/wpn_mandal_elite_annihilator.iff
