pet	trade
s[required]	s[required]
bearded_jax	minor_sludge_panther
diseased_vrelt_matriarch	womprat
giant_horned_krevol	spiked_krevol
mott_bull	canoid
rot_mite	spiked_krevol
squall_male	vir_vur
stintaril_scavenger	womprat
cu_pa	kwi
tabage	minor_sludge_panther
wormed_vrobal	canoid
forest_murra	murra
borgle	vynock
kaadu_female	kaadu
frenzied_fynock_guardian	vynock
potbellied_vrobal	canoid
dashing_vir_vur	vir_vur
fynock	vynock
scyk	kwi
swamp_gurrcat	minor_sludge_panther
vicious_squall	vir_vur
wood_mite	spiked_krevol
crazed_roba	canoid
injured_purbole	womprat
wrix	minor_sludge_panther
langlatch_female	minor_sludge_panther
dune_beetle	spiked_krevol
gualama	krahbu
violent_krahbu	krahbu
pouncing_jax	minor_sludge_panther
mutant_womprat	womprat
borgle_harvester	vynock
female_grassland_slice_hound	minor_sludge_panther
female_kai_tok	kwi
rogue_bageraset	brackaset_lowlands
veermok	veermok_sentry
fuzzy_jax	minor_sludge_panther
dung_mite	spiked_krevol
giant_worrt	nuna
bachelor_gualama	krahbu
carnivorous_nuna	nuna
cyst_covered_rot_guard	dalyrake
jungle_fynock	vynock
rotting_pustule_guard	spiked_krevol
sandy_spined_snake	fanned_rawl
twilight_vir_vur	vir_vur
choku_female	slice_hound
rock_beetle	spiked_krevol
blood_thirsty_borgle	vynock
dire_cat	minor_sludge_panther
grassland_slice_hound	slice_hound
guf_drolg	minor_guf_drolg
male_kai_tok	kwi
startled_vrelt_mother	womprat
tabage_scavenger	minor_sludge_panther
veermok_scout	veermok_sentry
borgle_protector	vynock
pugoriss	carrion_spat
perlek	kwi
spined_puc	nuna
kaadu_male	kaadu
knotted_krevol	spiked_krevol
stintaril	womprat
dappled_gualama	krahbu
forest_mite	spiked_krevol
greater_shaupaut	veermok_sentry
grizzled_bark_mite	spiked_krevol
peko_peko	vynock
spineflap_soldier	spineflap_gatherer
variegated_womprat	womprat
vrobal	canoid
bloodfanged_gackle_bat	vynock
corellian_butterfly_warrior	spineflap_gatherer
great_borgle	vynock
langlatch_male	minor_sludge_panther
spined_snake_recluse	fanned_rawl
lesser_bocatt	kwi
savage_pugoriss	carrion_spat
forest_slice_hound	slice_hound
puss_covered_decay_mite_soldier	spiked_krevol
bantha	bol_lesser_plains
guf_drolg_female	minor_guf_drolg
choku_hunter	slice_hound
mountain_krevol	spiked_krevol
canoid_hunter	canoid
deranged_squall	vir_vur
gackle_bat_hunter	vynock
savage_guf_drolg	minor_guf_drolg
charred_krevol	spiked_krevol
dusk_vir_vur	vir_vur
feral_bantha	bol_lesser_plains
kahmurra	murra
langlatch_hunter	minor_sludge_panther
lurking_shear_mite	spiked_krevol
perlek_scavenger	carrion_spat
roba_male	canoid
sickening_dung_mite_worker	spiked_krevol
skreeg_gatherer	veermok_sentry
spineflap_handmaiden	spineflap_gatherer
veermok_ravager	veermok_sentry
veermok_scavenger	veermok_sentry
cowardly_gurreck	minor_sludge_panther
dalyrake_harvester	dalyrake
cave_beetle	spiked_krevol
