template	name
s	s
object/tangible/wearables/shirt/shirt_s09.iff	@wearables_name:shirt_s09
object/tangible/wearables/jacket/jacket_s21.iff	@wearables_name:jacket_s21
object/tangible/wearables/pants/pants_s14.iff	@wearables_name:pants_s14
object/tangible/wearables/boots/boots_s05.iff	@wearables_name:boots_s05
object/tangible/wearables/shirt/shirt_s10.iff	@wearables_name:shirt_s10
object/tangible/wearables/pants/pants_s04.iff	@wearables_name:pants_s04
object/tangible/wearables/shoes/shoes_s03.iff	@wearables_name:shoes_s03
object/tangible/wearables/dress/dress_s06.iff	@wearables_name:dress_s06
object/tangible/wearables/dress/dress_s18.iff	@wearables_name:dress_s18
object/tangible/wearables/armor/bone/gp_armor_bone_bicep_l.iff	@wearables_name:armor_bone_s01_bicep_l
object/tangible/wearables/armor/bone/gp_armor_bone_bicep_r.iff	@wearables_name:armor_bone_s01_bicep_r
object/tangible/wearables/armor/bone/gp_armor_bone_boots.iff	@wearables_name:armor_bone_s01_boots
object/tangible/wearables/armor/bone/gp_armor_bone_bracer_l.iff	@wearables_name:armor_bone_s01_bracer_l
object/tangible/wearables/armor/bone/gp_armor_bone_bracer_r.iff	@wearables_name:armor_bone_s01_bracer_r
object/tangible/wearables/armor/bone/gp_armor_bone_chest_plate.iff	@wearables_name:armor_bone_s01_chest_plate
object/tangible/wearables/armor/bone/gp_armor_bone_helmet.iff	@wearables_name:armor_bone_s01_helmet
object/tangible/wearables/armor/bone/gp_armor_bone_gloves.iff	@wearables_name:armor_bone_s01_gloves
object/tangible/wearables/armor/bone/gp_armor_bone_leggings.iff	@wearables_name:armor_bone_s01_leggings
object/tangible/wearables/armor/chitin/armor_chitin_s01_bicep_l.iff	@wearables_name:armor_chitin_s01_bicep_l
object/tangible/wearables/armor/chitin/armor_chitin_s01_bicep_r.iff	@wearables_name:armor_chitin_s01_bicep_r
object/tangible/wearables/armor/chitin/armor_chitin_s01_boots.iff	@wearables_name:armor_chitin_s01_boots
object/tangible/wearables/armor/chitin/armor_chitin_s01_bracer_l.iff	@wearables_name:armor_chitin_s01_bracer_l
object/tangible/wearables/armor/chitin/armor_chitin_s01_bracer_r.iff	@wearables_name:armor_chitin_s01_bracer_r
object/tangible/wearables/armor/chitin/armor_chitin_s01_chest_plate.iff	@wearables_name:armor_chitin_s01_chest_plate
object/tangible/wearables/armor/chitin/armor_chitin_s01_gloves.iff	@wearables_name:armor_chitin_s01_gloves
object/tangible/wearables/armor/chitin/armor_chitin_s01_helmet.iff	@wearables_name:armor_chitin_s01_helmet
object/tangible/wearables/armor/chitin/armor_chitin_s01_leggings.iff	@wearables_name:armor_chitin_s01_leggings
object/tangible/wearables/armor/composite/armor_composite_bicep_l.iff	@wearables_name:armor_composite_bicep_l
object/tangible/wearables/armor/composite/armor_composite_bicep_r.iff	@wearables_name:armor_composite_bicep_r
object/tangible/wearables/armor/composite/armor_composite_boots.iff	@wearables_name:armor_composite_boots
object/tangible/wearables/armor/composite/armor_composite_bracer_l.iff	@wearables_name:armor_composite_bracer_l
object/tangible/wearables/armor/composite/armor_composite_bracer_r.iff	@wearables_name:armor_composite_bracer_r
object/tangible/wearables/armor/composite/armor_composite_chest_plate.iff	@wearables_name:armor_composite_chest_plate
object/tangible/wearables/armor/composite/armor_composite_gloves.iff	@wearables_name:armor_composite_gloves
object/tangible/wearables/armor/composite/armor_composite_helmet.iff	@wearables_name:armor_composite_helmet
object/tangible/wearables/armor/composite/armor_composite_leggings.iff	@wearables_name:armor_composite_pants
object/tangible/wearables/armor/padded/armor_padded_s01_belt.iff	@wearables_name:armor_padded_s01_belt
object/tangible/wearables/armor/padded/armor_padded_s01_bicep_l.iff	@wearables_name:armor_padded_s01_bicep_l
object/tangible/wearables/armor/padded/armor_padded_s01_bicep_r.iff	@wearables_name:armor_padded_s01_bicep_r
object/tangible/wearables/armor/padded/armor_padded_s01_boots.iff	@wearables_name:armor_padded_s01_boots
object/tangible/wearables/armor/padded/armor_padded_s01_bracer_l.iff	@wearables_name:armor_padded_s01_bracer_l
object/tangible/wearables/armor/padded/armor_padded_s01_bracer_r.iff	@wearables_name:armor_padded_s01_bracer_r
object/tangible/wearables/armor/padded/armor_padded_s01_chest_plate.iff	@wearables_name:armor_padded_s01_chest_plate
object/tangible/wearables/armor/padded/armor_padded_s01_gloves.iff	@wearables_name:armor_padded_s01_gloves
object/tangible/wearables/armor/padded/armor_padded_s01_helmet.iff	@wearables_name:armor_padded_s01_helmet
object/tangible/wearables/armor/padded/armor_padded_s01_leggings.iff	@wearables_name:armor_padded_s01_leggings
object/tangible/wearables/armor/tantel/armor_tantel_skreej_boots.iff	@wearables_name:armor_tantel_skreej_boots
object/tangible/wearables/armor/tantel/armor_tantel_skreej_chest_plate.iff	@wearables_name:armor_tantel_skreej_chest_plate
object/tangible/wearables/armor/tantel/armor_tantel_skreej_helmet.iff	@wearables_name:armor_tantel_skreej_helmet
