template	name
s	s
object/tangible/survey_tool/survey_tool_gas.iff	@item_n:survey_tool_gas
object/tangible/survey_tool/survey_tool_liquid.iff	@item_n:survey_tool_liquid
object/tangible/survey_tool/survey_tool_lumber.iff	@item_n:survey_tool_lumber
object/tangible/survey_tool/survey_tool_mineral.iff	@item_n:survey_tool_mineral
object/tangible/survey_tool/survey_tool_moisture.iff	@item_n:survey_tool_moisture
object/tangible/crafting/station/generic_tool.iff	@crafting:generic_tool_name
object/weapon/melee/axe/axe_heavy_duty.iff	@weapon_name:axe_heavy_duty
object/weapon/melee/axe/axe_vibroaxe.iff	@weapon_name:axe_vibro
object/weapon/melee/baton/baton_gaderiffi.iff	@weapon_name:baton_gaderiffi
object/weapon/melee/baton/baton_stun.iff	@weapon_name:baton_stun
object/weapon/melee/knife/knife_dagger.iff	@weapon_name:knife_dagger
object/weapon/melee/knife/knife_survival.iff	@weapon_name:knife_survival
object/weapon/melee/knife/knife_vibroblade.iff	@weapon_name:knife_vibroblade
object/weapon/melee/polearm/lance_controllerfp.iff	@weapon_name:lance_controllerfp
object/weapon/melee/polearm/lance_staff_metal.iff	@weapon_name:lance_staff_metal
object/weapon/melee/polearm/lance_staff_wood_s1.iff	@weapon_name:lance_staff_wood_s1
object/weapon/melee/polearm/lance_staff_wood_s2.iff	@weapon_name:lance_staff_wood_s2
object/weapon/melee/polearm/lance_vibrolance.iff	@weapon_name:lance_vibrolance
object/weapon/melee/polearm/polearm_vibro_axe.iff	@weapon_name:lance_vibro_axe
object/weapon/melee/sword/sword_01.iff	@weapon_name:sword_01
object/weapon/melee/sword/sword_blade_ryyk.iff	@weapon_name:sword_blade_ryyk
object/weapon/melee/sword/sword_02.iff	@weapon_name:sword_02
object/weapon/ranged/carbine/carbine_dh17.iff	@weapon_name:carbine_dh17
object/weapon/ranged/carbine/carbine_dxr6.iff	@weapon_name:carbine_dxr6
object/weapon/ranged/carbine/carbine_e11.iff	@weapon_name:carbine_e11
object/weapon/ranged/carbine/carbine_ee3.iff	@weapon_name:carbine_ee3
object/weapon/ranged/carbine/carbine_elite.iff	@weapon_name:carbine_elite
object/weapon/ranged/carbine/carbine_laser.iff	@weapon_name:carbine_laser
object/weapon/ranged/pistol/pistol_cdef.iff	@weapon_name:pistol_cdef
object/weapon/ranged/pistol/pistol_d18.iff	@weapon_name:pistol_d18
object/weapon/ranged/pistol/pistol_dh17.iff	@weapon_name:pistol_dh17
object/weapon/ranged/pistol/pistol_dl44.iff	@weapon_name:pistol_dl44
object/weapon/ranged/pistol/pistol_dl44_metal.iff	@weapon_name:pistol_dl44_metal
object/weapon/ranged/pistol/pistol_dx2.iff	@weapon_name:pistol_dx2
object/weapon/ranged/pistol/pistol_fwg5.iff	@weapon_name:pistol_fwg5
object/weapon/ranged/pistol/pistol_power5.iff	@weapon_name:pistol_power5
object/weapon/ranged/pistol/pistol_scout_blaster.iff	@weapon_name:pistol_scout_blaster
object/weapon/ranged/pistol/pistol_srcombat.iff	@weapon_name:pistol_srcombat
object/weapon/ranged/pistol/pistol_striker.iff	@weapon_name:pistol_striker
object/weapon/ranged/pistol/pistol_tangle.iff	@weapon_name:pistol_tangle
object/weapon/ranged/rifle/rifle_bowcaster.iff	@weapon_name:rifle_bowcaster
object/weapon/ranged/rifle/rifle_dlt20a.iff	@weapon_name:rifle_dlt20a
object/weapon/ranged/rifle/rifle_e11.iff	@weapon_name:rifle_e11
object/weapon/ranged/rifle/rifle_jawa_ion.iff	@weapon_name:rifle_jawa_ion
object/weapon/ranged/rifle/rifle_laser.iff	@weapon_name:rifle_laser
object/weapon/ranged/rifle/rifle_sg82.iff	@weapon_name:rifle_sg82
object/weapon/ranged/rifle/rifle_spraystick.iff	@weapon_name:rifle_spraystick
object/weapon/ranged/rifle/rifle_t21.iff	@weapon_name:rifle_t21
object/weapon/ranged/rifle/rifle_tusken.iff	@weapon_name:rifle_tusken
