name	skill	aggression	leashRadius	aggroRadius	nonCombatMaxSpeedPercent	projectileFireDelay	projectileFireAngleDegrees	projectileMissAngleDegrees	projectileMissChance	countermeasureReactionTime	turretMissAngleDegrees	turretMissChance	bomberMissilesPerBombingRun	fighterMissileLockOnTime	fighterMissileLockOnAngleDegrees	fighterMissileChanceToFirePercent	fighterMissileFireDelay	fighterChaseMaxTime	fighterChaseMinThrottle	fighterChaseSeperationTime	fighterChaseMaxShots	fighterChaseMaxOnTailTime	fighterEvadeMaxTime	fighterEvadePositionUpdateDelay	fighterEvadeAngleDegrees
s	f	f	f	f	f	f	f	f	f	f	f	f	i	f	f	f	f	f	f	f	i	f	f	f	f
default	1	1	2000	600	0.5	2	14	8	0.2	6	8	0.8	1	3	15	0.1	15	10	0.5	2	5	4	12	2	180
light_fighter_tier1	1	1	2000	600	0.5	2	14	8	0.2	6	8	0.8	1	3	15	0.1	15	10	0.5	2	5	4	12	2	180
light_fighter_tier2	1	1	2000	600	0.5	2	12	7	0.3	4	8	0.7	1	3	15	0.12	15	12	0.5	2	6	6	12	1.5	180
light_fighter_tier3	1	1	2000	700	0.5	2	10	6	0.3	3	8	0.6	1	3	15	0.15	15	14	0.4	2	8	8	12	0.25	180
light_fighter_tier4	1	1	2000	800	0.5	1.75	8	5	0.3	2	7	0.5	1	3	15	0.17	15	16	0.4	2	10	10	12	0.25	180
light_fighter_tier5	1	1	2000	900	0.5	1.5	6	5	0.3	1	6	0.4	1	3	15	0.2	15	20	0.3	2	12	14	12	0.25	180
light_fighter_tier6	1	1	2000	1000	0.5	1.25	4	3	0.3	1	4	0.4	1	3	15	0.2	15	20	0.3	2	14	18	12	0.15	180
medium_fighter_tier1	1	1	2000	600	0.5	2	14	8	0.2	6	8	0.8	1	3	15	0.1	15	10	0.5	2	5	4	12	2	180
medium_fighter_tier2	1	1	2000	600	0.5	2	12	7	0.3	4	8	0.7	1	3	15	0.12	15	12	0.5	2	6	6	12	1.5	180
medium_fighter_tier3	1	1	2000	700	0.5	2	10	6	0.3	3	7	0.6	1	3	15	0.15	15	14	0.4	2	8	8	12	0.25	180
medium_fighter_tier4	1	1	2000	800	0.5	1.75	8	5	0.3	2	6	0.5	1	3	15	0.17	15	16	0.4	2	10	10	12	0.25	180
medium_fighter_tier5	1	1	2000	900	0.5	1.5	6	4	0.3	1	6	0.4	1	3	15	0.2	15	20	0.3	2	12	14	12	0.25	180
medium_fighter_tier6	1	1	2000	1000	0.5	1.25	4	3	0.3	1	6	0.3	1	3	15	0.3	15	24	0.2	2	14	16	12	0.15	180
heavy_fighter_tier1	1	1	2000	600	0.5	2	14	8	0.2	6	8	0.8	1	3	15	0.1	15	10	0.5	3	5	4	12	2	180
heavy_fighter_tier2	1	1	2000	600	0.5	2	12	7	0.3	4	7	0.7	1	3	15	0.12	15	12	0.5	3	6	6	12	1.5	180
heavy_fighter_tier3	1	1	2000	700	0.5	2	10	6	0.3	3	6	0.6	1	3	15	0.15	15	14	0.4	3	8	8	12	0.25	180
heavy_fighter_tier4	1	1	2000	800	0.5	1.75	8	5	0.3	2	5	0.5	1	3	15	0.17	15	16	0.4	3	10	10	12	0.25	180
heavy_fighter_tier5	1	1	2000	900	0.5	1.5	6	4	0.3	1	5	0.4	1	3	15	0.2	15	20	0.3	3	12	14	12	0.25	180
heavy_fighter_tier6	1	1	2000	900	0.5	1.5	6	4	0.3	1	5	0.4	1	3	15	0.4	15	20	0.3	5	12	14	12	0.25	180
bomber_tier1	1	1	2000	600	0.5	2	14	8	0.2	6	8	0.8	1	3	15	0.1	15	10	0.5	3	5	4	12	2	180
bomber_tier2	1	1	2000	600	0.5	2	12	7	0.3	4	7	0.7	1	3	15	0.12	15	12	0.5	3	6	6	12	1.5	180
bomber_tier3	1	1	2000	700	0.5	2	10	6	0.3	3	6	0.6	1	3	15	0.15	15	14	0.4	3	8	8	12	0.25	180
bomber_tier4	1	1	2000	800	0.5	1.75	8	5	0.3	2	5	0.5	1	3	15	0.17	15	16	0.4	3	10	10	12	0.25	180
bomber_tier5	1	1	2000	900	0.5	1.5	6	4	0.3	1	5	0.4	1	3	15	0.2	15	20	0.3	3	12	14	12	0.25	180
bomber_tier6	1	1	2000	900	0.5	1.25	4	3	0.3	1	4	0.3	2	2	20	0.6	15	24	0.2	5	14	14	12	0.15	180
heavy_tier1	1	1	2000	600	0.5	2	14	8	0.2	5	8	0.8	3	3	15	0.1	15	4	0.1	2	1	4	12	2	180
heavy_tier2	1	1	2000	600	0.5	2	12	7	0.3	4	7	0.7	3	3	15	0.12	15	4	0.1	2	1	6	12	1.5	180
heavy_tier3	1	1	2000	700	0.5	2	10	6	0.3	3	6	0.6	3	3	15	0.15	15	4	0.1	2	1	8	12	0.25	180
heavy_tier4	1	1	2000	800	0.5	1.75	8	5	0.3	2	5	0.5	3	3	15	0.17	15	4	0.1	2	4	10	12	0.25	180
heavy_tier5	1	1	2000	900	0.5	1.5	6	4	0.3	1	5	0.4	3	3	15	0.2	15	4	0.1	2	4	14	12	0.25	180
slow_tier1	1	1	2000	600	0.5	2	14	8	0.2	5	8	0.8	3	3	15	0.1	15	4	0.8	2	1	1	12	6	180
slow_tier2	1	1	2000	600	0.5	2	12	7	0.3	4	7	0.7	3	3	15	0.12	15	4	0.8	2	1	1	12	6	180
slow_tier3	1	1	2000	700	0.5	2	10	6	0.3	3	6	0.6	3	3	15	0.15	15	4	0.8	2	1	1	12	6	180
slow_tier4	1	1	2000	800	0.5	1.75	8	5	0.3	2	5	0.5	3	3	15	0.17	15	4	0.8	2	1	1	12	6	180
slow_tier5	1	1	2000	900	0.5	1.5	6	4	0.3	1	5	0.4	3	3	15	0.2	15	4	0.8	2	1	1	12	6	180
spacestation_tier5	1	1	2000	1600	0.5	1.5	6	4	0.3	1	5	0.4	3	3	15	0.2	15	4	0.8	2	1	1	12	6	180
e3_star_destroyer_pilot	1	1	2000	900	0.5	1.5	6	4	0.3	1	8	0.9	3	3	15	0.2	15	4	0.1	2	4	14	12	0.25	180
e3_fighter	1	1	2000	900	0.5	1.5	6	4	0.7	1	6	0.4	1	3	15	0.2	15	20	0.3	2	12	14	12	0.25	180
e3_bomber	1	1	2000	800	0.5	1.75	8	5	0.6	2	5	0.5	1	3	15	0.17	15	16	0.4	3	10	10	12	0.25	180
