Mass Distribution								
BASELINE	Armor	Weapons	Shields	Booster	Capacitor	Droid Interface	Engine	Reactor
10000	0.09	0.1	0.11	0.08	0.1	0.05	0.09	0.11

Reactor Drain Distribution								
BASELINE	Armor	Weapons	Shields	Booster	Capacitor	Droid Interface	Engine	Reactor
10000	0	0.2	0.25	0.05	0.1	0.05	0.15	0

Armor								
Name	Cert	Armor	ArmorMod	Mass	MassMod	MassCertBase		
armor_seinar_enhanced_plasteel	1	0.824	0.38	0.981	0.24	1		
armor_seinar_coated_plasteel	1	0.834	0.38	0.981	0.24	1		
armor_tiefighter_basic	1	0.724	0.38	0.881	0.24	1		
armor_z95_basic	1	0.824	0.38	0.981	0.24	1		
arm_koensayr_b5_durasteel	1	0.844	0.39	0.981	0.24	1		
arm_koensayr_b9_durasteel	1	0.824	0.38	0.971	0.25	1		
arm_mandal_composite_j5	1	0.824	0.38	0.961	0.24	1	
arm_subpro_bargain_plastisteel	1	0.624	0.4	0.981	0.14	1	
arm_corellian_cheap_durasteel	1	0.724	0.38	1.001	0.24	1	
arm_moncal_light_weave	1	0.624	0.38	0.781	0.14	1	
arm_sfs_light_durasteel	1	0.824	0.2	0.981	0.24	1	
arm_rss_light_plastisteel	1	0.824	0.3	0.981	0.24	1	
arm_incom_light_plate	1	0.824	0.38	0.961	0.2	1	
arm_gallofree_mk1	1	0.824	0.38	0.981	0.24	1	
arm_mission_reward_rebel_incom_ultralight	1	0.8	0.0001	0.65	0.0001	1	
arm_cygnus_light_weave	2	0.824	0.38	0.981	0.24	1.75	
arm_rendili_tough_plate	2	0.834	0.38	0.981	0.24	1.75	
arm_freitek_deluxe_light	2	0.724	0.38	0.881	0.24	1.75	
arm_slayn_tech_weave	2	0.824	0.38	0.981	0.24	1.75	
armor_baktoid_spider_shell_g2	2	0.844	0.39	0.981	0.24	1.75	
armor_baktoid_mtt_prototype	2	0.824	0.38	0.971	0.25	1.75	
armor_baktoid_shock_armor	2	0.824	0.38	0.961	0.24	1.75	
arm_moncal_improved_light_weave	2	0.824	0.38	0.771	0.25	1.75	
arm_sorosuub_improved_light_plastisteel	2	0.824	0.38	0.961	0.24	1.75	
arm_mandal_modifier_composite_j5	2	0.624	0.38	0.981	0.14	1.75	
arm_kse_intermediate_durasteel	2	0.824	0.2	0.981	0.24	1.75	
arm_kse_modified_light_durasteel	2	0.824	0.3	0.981	0.24	1.75	
arm_koensayr_reinforced_b5_durasteel	2	0.824	0.38	0.961	0.2	1.75	
arm_corellian_light_durasteel	2	0.824	0.38	0.981	0.24	1.75	
armor_freitek_ew6_prototype	3	0.824	0.38	0.981	0.317	2.5	
armor_freitek_es4_durasteel	3	0.834	0.38	0.981	0.316	2.5	
armor_mandal_composite_j14	3	0.724	0.38	0.881	0.315	2.5	
arm_koensayr_standard_durasteel	3	0.824	0.38	0.981	0.31	2.5	
arm_sorosuub_intemediate_plastisteel	3	0.844	0.39	0.981	0.318	2.5	
