INDEX	APPEARANCE	FEMALE_APPEARANCE	category	comments
i	s	s[none]	s	c
1	object/mobile/shared_jawa_male.iff		halloween	
2	object/mobile/shared_toydarian_m.iff		halloween	
3	object/mobile/shared_hutt_female.iff		halloween	
4	object/mobile/shared_droideka.iff		halloween	
5	object/mobile/shared_salacious_crumb.iff		halloween	
6	object/mobile/shared_loveday_ewok_cupid.iff		loveday	ewok cupid
7	object/mobile/shared_jawa.iff		storyteller	jawa
8	object/mobile/shared_gungan_male.iff		storyteller	gungan
9	object/mobile/shared_dressed_ewok_m_01.iff		storyteller	ewok
10	object/mobile/shared_gamorrean.iff		storyteller	gamorrean guard
11	object/mobile/shared_battle_droid.iff		storyteller	battle droid
12	object/mobile/shared_4lom.iff		storyteller	4lom
13	object/mobile/shared_dantari_male.iff		storyteller	dantari male
14	object/mobile/shared_dantari_female.iff		storyteller	dantari female
15	object/mobile/shared_muftak.iff		storyteller	muftak
16	object/mobile/shared_royal_guard.iff		storyteller	Imperial Guard
17	object/mobile/shared_nexus_8t88.iff		storyteller	8t88 droid
18	object/mobile/som/shared_som_kenobi_reunite_dark_trooper.iff		storyteller	Dark Trooper
19	object/mobile/shared_mustafarian.iff		storyteller	mustafarian (thin)
20	object/mobile/shared_chevin.iff		storyteller	chevin (like ephant mon)
21	object/mobile/som/shared_ig106.iff		storyteller	ig106
22	object/mobile/shared_super_battle_droid.iff		storyteller	super battle droid
23	object/mobile/shared_bomarr_monk_spider_droid.iff		storyteller	B'omarr monk spider droid
24	object/mobile/shared_costume_undead_wke_m_01.iff	object/mobile/shared_costume_undead_wke_f_01.iff	storyteller	undead wookiee
25	object/mobile/shared_ewok_male_01.iff	object/mobile/shared_ewok_female_01.iff	storyteller	burning ewok
26	object/mobile/shared_costume_chiss_m_01.iff	object/mobile/shared_costume_chiss_f_01.iff	storyteller	chiss 01
27	object/mobile/shared_costume_exar_kun_cultist.iff		storyteller	exar kun cultist
28	object/mobile/shared_lifeday_monkey_lizard.iff		storyteller	life day monkey lizard
