template	encodedName	price
s	s	I[5]
object/tangible/food/bar/drink_bar_s01.iff	@food_name:chav    	5
object/tangible/food/bar/drink_bar_s02.iff	@food_name:ksaa    	4
object/tangible/food/bar/drink_bar_s03.iff	@food_name:trooperbreath    	3
object/tangible/food/bar/drink_bar_s01.iff	@food_name:lopez_softdrink	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:ardees_beverage	
object/tangible/food/bar/drink_bar_s03.iff	@food_name:milk	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_savareen_brandy_stinger    	8
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_skannbult_likker    	7
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_tarine_tea    	7
