template	encodedName	price
s	s	I[5]
object/tangible/food/bar/drink_bar_s01.iff	@food_name:antakarian_fire_dancer	4
object/tangible/food/bar/drink_bar_s02.iff	@food_name:sith_scorcher	4
object/tangible/food/bar/drink_bar_s03.iff	@food_name:desert_bloom	3
object/tangible/food/bar/drink_bar_s01.iff	@food_name:lopez_softdrink	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:ardees_beverage	
object/tangible/food/bar/drink_bar_s03.iff	@food_name:milk	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_gralinyn_juice    	12
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_jaar    	12
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_jawa_beer	9
