template	encodedName	price
s	s	I[5]
object/tangible/food/bar/drink_bar_s01.iff	@food_name:adumari_beer	4
object/tangible/food/bar/drink_bar_s02.iff	@food_name:leena    	
object/tangible/food/bar/drink_bar_s05.iff	@food_name:lopez_softdrink	
object/tangible/food/bar/drink_bar_s01.iff	@food_name:ardees_beverage	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:milk	
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_utozz	9
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_vlizz_kick    	10
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_skannbult_likker    	10
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_tarine_tea    	11
