template	encodedName	price
s	s	I[5]
object/tangible/food/bar/drink_bar_s02.iff	@food_name:bantha_blood_fizz	4
object/tangible/food/bar/drink_bar_s03.iff	@food_name:jawa_juice	3
object/tangible/food/bar/drink_bar_s04.iff	@food_name:tatooine_sunburn	4
object/tangible/food/bar/drink_bar_s03.iff	@food_name:lopez_softdrink	
object/tangible/food/bar/drink_bar_s04.iff	@food_name:ardees_beverage	
object/tangible/food/bar/drink_bar_s05.iff	@food_name:milk	
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_angerian_fishak_surprise    	8
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_elshandruu_pica_thundercloud    	10
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_gralinyn_juice    	11
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_jaar    	8
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_savareen_brandy_stinger    	8
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_skannbult_likker    	9
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_tarine_tea    	6
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_tssolok    	7
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_utozz	9
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_vlizz_kick    	10
