template	encodedName	price
s	s	I[5]
object/tangible/food/bar/drink_bar_s05.iff	@food_name:lopez_softdrink	
object/tangible/food/bar/drink_bar_s01.iff	@food_name:ardees_beverage	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:milk	
object/tangible/food/bar/drink_bar_s04.iff	@food_name:eyeblaster	
object/tangible/food/bar/drink_bar_s05.iff	@food_name:hot_chocolate	
object/tangible/food/bar/drink_bar_s01.iff	@food_name:naris_bud_tea    	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:pawei_juice    	
object/tangible/food/bar/drink_bar_s03.iff	@food_name:red_dwarf    	
object/tangible/food/bar/drink_bar_s04.iff	@food_name:snig    	
object/tangible/food/bar/drink_bar_s05.iff	@food_name:talmog    	
object/tangible/food/bar/drink_bar_s03.iff	@food_name:zoochberry    	
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_savareen_brandy_stinger    	9
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_skannbult_likker    	6
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_tarine_tea    	8
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_tssolok    	7
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_utozz	9
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_vlizz_kick    	6
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_tatooine_sunburn	8
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_jawa_beer	8
