template	encodedName	price
s	s	i[5]
object/tangible/food/bar/drink_bar_s01.iff	@food_name:starshine_special    	4
object/tangible/food/bar/drink_bar_s02.iff	@food_name:stimufrost_drink 	4
object/tangible/food/bar/drink_bar_s04.iff	@food_name:fruit_fizz    	3
object/tangible/food/bar/drink_bar_s05.iff	@food_name:mad_mrelf    	3
object/tangible/food/bar/drink_bar_s02.iff	@food_name:turbofizz    	4
object/tangible/food/bar/drink_bar_s03.iff	@food_name:twistler    	4
object/tangible/food/bar/drink_bar_s01.iff	@food_name:lopez_softdrink	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:ardees_beverage	
object/tangible/food/bar/drink_bar_s03.iff	@food_name:milk	
object/tangible/food/bar/drink_bar_s02.iff	@food_name:hot_chocolate	
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_angerian_fishak_surprise    	7
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_elshandruu_pica_thundercloud    	8
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_gralinyn_juice    	7
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_jaar    	7
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_savareen_brandy_stinger    	8
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_skannbult_likker    	9
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_tarine_tea    	6
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_tssolok    	9
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_utozz	8
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_vlizz_kick    	11
