template	encodedName	price
s	s	i[50]
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_angerian_fishak_surprise	70
object/tangible/food/bar/drink_bar_s02.iff	@food_name:ardees_beverage	50
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_elshandruu_pica_thundercloud	80
object/tangible/food/bar/drink_bar_s04.iff	@food_name:fruit_fizz	30
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_gralinyn_juice	70
object/tangible/food/bar/drink_bar_s02.iff	@food_name:hot_chocolate	50
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_jaar	70
object/tangible/food/bar/drink_bar_s01.iff	@food_name:lopez_softdrink	50
object/tangible/food/bar/drink_bar_s05.iff	@food_name:mad_mrelf	30
object/tangible/food/bar/drink_bar_s03.iff	@food_name:milk	50
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_savareen_brandy_stinger	80
object/tangible/food/bar/drink_bar_s03.iff	@food_name:imported_skannbult_likker	90
object/tangible/food/bar/drink_bar_s01.iff	@food_name:starshine_special	40
object/tangible/food/bar/drink_bar_s02.iff	@food_name:stimufrost_drink	40
object/tangible/food/bar/drink_bar_s04.iff	@food_name:imported_tarine_tea	60
object/tangible/food/bar/drink_bar_s05.iff	@food_name:imported_tssolok	80
object/tangible/food/bar/drink_bar_s02.iff	@food_name:turbofizz	40
object/tangible/food/bar/drink_bar_s03.iff	@food_name:twistler	40
object/tangible/food/bar/drink_bar_s01.iff	@food_name:imported_utozz	80
object/tangible/food/bar/drink_bar_s02.iff	@food_name:imported_vlizz_kick	110
