veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
melee2hHit1	melee2hHit1	melee2hHit1	melee2hHit1	melee2hHit1	melee2hHit3		
melee2hSpinAttack1	melee2hSpinAttack1	melee2hSpinAttack1	melee2hSpinAttack1	melee2hSpinAttack1	melee2hHit3		
melee2hHit2	melee2hHit2	melee2hHit2	melee2hHit2		melee2hHit3		
melee2hSpinAttack2	melee2hSpinAttack2	melee2hSpinAttack2	melee2hSpinAttack2				
melee2hSweep1	melee2hSweep1	melee2hSweep1	melee2hSweep1				
melee2hHit3	melee2hHit3	melee2hHit3					
melee2hSweep2	melee2hSweep2	melee2hSweep2					
melee2hArea3	melee2hArea3						
melee2hArea1	melee2hArea1						
melee2hLunge1	targetedShot						
targetedShot							
melee2hArea2							
melee2hLunge2							
