veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
overChargeShot1	overChargeShot1	overChargeShot1	overChargeShot1	overChargeShot1			legShot1
pointBlankSingle1	pointBlankSingle1	pointBlankSingle1	pointBlankSingle1	pointBlankSingle1			legShot2
actionShot1	actionShot1	actionShot1	actionShot1				legShot3
scatterShot1	scatterShot1	scatterShot1	scatterShot1				
burstShot1	burstShot1	burstShot1	burstShot1				
pointBlankArea1	pointBlankArea1	pointBlankArea1					
fullAutoSingle1	fullAutoSingle1	fullAutoSingle1					
wildShot1	wildShot1	wildShot1					
overChargeShot2	overChargeShot2	overChargeShot2					
suppressionFire1	suppressionFire1						
actionShot2	actionShot2						
scatterShot2	scatterShot2						
burstShot2	burstShot2						
targetedShot	targetedShot						
suppressionFire2
fullAutoArea1
wildShot2
fullAutoSingle2
fullAutoArea2
