veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
polearmHit1	polearmHit1	polearmHit1	polearmHit1	polearmHit1			polearmLegHit1
polearmSpinAttack1	polearmSpinAttack1	polearmSpinAttack1	polearmSpinAttack1				polearmLegHit2
polearmSweep1	polearmSweep1	polearmSweep1	polearmSweep1				polearmLegHit3
polearmStun1	polearmStun1	polearmStun1	polearmStun1				
polearmActionHit1	polearmActionHit1	polearmActionHit1					
polearmArea1	polearmArea1	polearmArea1					
polearmLunge1	polearmLunge1	polearmLunge1					
polearmHit2	polearmHit2						
polearmSpinAttack2	polearmSpinAttack2						
targetedShot	targetedShot						
polearmSweep2							
polearmStun2							
polearmActionHit2							
polearmHit3							
polearmLunge2
polearmArea2
