veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
melee1hHit1	melee1hHit1	melee1hHit1	melee1hHit1	melee1hHit1		melee1hBodyHit1	
melee1hSpinAttack1	melee1hSpinAttack1	melee1hSpinAttack1	melee1hSpinAttack1	melee1hSpinAttack1		melee1hBodyHit2	
melee1hHit2	melee1hHit2	melee1hHit2	melee1hHit2	melee1hHit2		melee1hBodyHit3	
melee1hSpinAttack2	melee1hSpinAttack2	melee1hSpinAttack2	melee1hSpinAttack2				
melee1hBlindHit1	melee1hBlindHit1	melee1hBlindHit1	melee1hBlindHit1				
melee1hHit3	melee1hHit3	melee1hHit3					
melee1hDizzyHit1	melee1hDizzyHit1	melee1hDizzyHit1					
melee1hHealthHit1	melee1hHealthHit1	melee1hHealthHit1					
melee1hBlindHit2	melee1hBlindHit2						
melee1hDizzyHit2	melee1hDizzyHit2						
melee1hScatterHit1	melee1hScatterHit1						
targetedShot	targetedShot						
melee1hLunge1							
melee1hHealthHit2							
melee1hScatterHit2
melee1hLunge2
