veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
forceChoke	forceKnockdown2	forceKnockdown1	forceKnockdown1	forceKnockdown1	mindBlast1		
forceKnockdown2	forceLightningCone2	forceLightningCone1	forceLightningCone1	forceLightningCone1	mindBlast2		
forceLightningCone2	forceLightningSingle2	forceLightningSingle1	forceLightningSingle1	forceLightningSingle1			
forceLightningSingle2	forceThrow2	forceThrow1	forceThrow1				
forceThrow2	forceWeaken2	forceWeaken1	forceWeaken1				
forceWeaken2		saber1hComboHit1					
saber1hComboHit2		saber1hFlurry					
saber1hFlurry		saber1hHeadHit1					
saber1hHeadHit2		saber1hHit1					
saber1hHit2		saberSlash1					
saberSlash2							
targetedShot							
