intActionId	hasMeleeAttack	hasRangedAttack	rangedWeapon
s	"e(NO=0,YES=1)[NO]"	"e(NO=0,YES=1)[NO]"	s
astromech_waiter	NO	NO	object/weapon/ranged/creature/creature_spit_spray_toxicgreen.iff
battle_droid_crafted	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
bomarr_monk	NO	NO	
bomarr_monk_abbot	NO	NO	
bomarr_monk_bodyguard	NO	NO	
bomarr_monk_healer	NO	NO	
bomarr_monk_initiate	NO	NO	
c_3po	NO	NO	
cll8_binary_load_lifter	NO	NO	
darth_maul_probe_droid	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
droideka	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
dz70_fugitive_tracker_droid	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
eg6_power_droid	NO	NO	
eg6_power_droid_crafted	NO	NO	
ev_9d9	NO	NO	
g_5po	NO	NO	
geonosian_droideka_crazed	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
geonosian_security_probot	NO	NO	
ig_assassin_droid	YES	NO	
imperial_probot_drone	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
imperial_probot_seeker	NO	NO	
ito_interrogator	YES	YES	object/weapon/ranged/vehicle/droid_weapon.iff
le_repair_droid	YES	NO	
lin_demolitionmech	NO	NO	
mining_droid_crafted	YES	NO	
mouse_droid	NO	NO	
mouse_droid_crafted	NO	NO	
probot	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
protocol_droid_3po	NO	NO	
protocol_droid_3po_crafted	NO	NO	
protocol_droid_3po_red	NO	NO	
protocol_droid_3po_silver	NO	NO	
r2	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r2_crafted	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r2d2	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r3	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r3_crafted	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r4	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r4_crafted	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r5	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
r5_crafted	YES	YES	object/weapon/ranged/droid/droid_astromech_ranged_weapon.iff
ra7_bug_droid	NO	NO	
robo_bartender	NO	NO	
surgical_droid_21b	NO	NO	
super_battle_droid_crafted	NO	YES	object/weapon/ranged/droid/droid_probot_ranged.iff
training_remote	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
tt8l	NO	NO	
tt8l_y7	NO	NO	
warren_agro_droid_atst	NO	NO	
warren_agro_droid_boss	NO	NO	
warren_agro_droid_s01	NO	NO	
warren_agro_droid_s02	NO	NO	
warren_agro_droid_s03	NO	NO	
warren_agro_droid_s04	NO	NO	
warren_bomarr_loyalist	NO	NO	
warren_droideka_loyalist	NO	YES	object/weapon/ranged/vehicle/droid_weapon.iff
wed_treadwell	NO	NO	
nhelper_droid	NO	NO	
