veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
forceChoke	forceChoke	forceChoke	forceChoke	forceChoke	mindBlast1		
forceKnockdown2	forceKnockdown2	forceKnockdown1	forceKnockdown1	forceKnockdown1	mindBlast2		
forceLightningCone2	forceLightningCone2	forceLightningCone1	forceLightningCone1	forceLightningCone1			
forceLightningSingle2	forceLightningSingle2	forceLightningSingle1	forceLightningSingle1	forceLightningSingle1			
forceThrow2	forceThrow2	forceThrow1	forceThrow1				
forceWeaken2	forceWeaken2	forceWeaken1	forceWeaken1				
saberPolearmDervish		saberPolearmDervish					
saberPolearmHit2		saberPolearmHit1					
saberPolearmLegHit2		saberPolearmLegHit1					
saberPolearmSpinAttack2		saberPolearmSpinAttack1					
saberSlash2		saberSlash1					
targetedShot		targetedShot					
