veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
forceChoke	forceChoke	forceChoke	forceChoke	forceChoke	mindBlast1		
forceKnockdown2	forceKnockdown2	forceKnockdown1	forceKnockdown1	forceKnockdown1	mindBlast2		
forceLightningCone2	forceLightningCone2	forceLightningCone1	forceLightningCone1	forceLightningCone1			
forceLightningSingle2	forceLightningSingle2	forceLightningSingle1	forceLightningSingle1	forceLightningSingle1			
forceThrow2	forceThrow2	forceThrow1	forceThrow1				
forceWeaken2	forceWeaken2	forceWeaken1	forceWeaken1				
saber2hBodyHit2	saber2hBodyHit2	mindBlast1	mindBlast1				
saber2hFrenzy		saber2hBodyHit1	saber2hBodyHit1				
saber2hHit3		saber2hFrenzy					
saber2hSweep2		saber2hHit1					
saberSlash2		saber2hHit2					
targetedShot		saber2hSweep1					
		saberSlash1					
