veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
unarmedHit1	unarmedHit1	unarmedHit1	unarmedHit1	unarmedHit1	unarmedBodyHit1	unarmedBodyHit1	unarmedLegHit1
unarmedCombo1	unarmedCombo1	unarmedCombo1	unarmedCombo1				
unarmedSpinAttack1	unarmedSpinAttack1	unarmedSpinAttack1	unarmedSpinAttack1				
unarmedStun1	unarmedStun1	unarmedStun1	unarmedStun1				
unarmedBlind1	unarmedBlind1	unarmedBlind1					
unarmedDizzy1	unarmedDizzy1	unarmedDizzy1					
unarmedLunge1	unarmedLunge1	unarmedLunge1					
unarmedKnockdown1	unarmedKnockdown1						
unarmedHit2	unarmedHit2						
unarmedCombo2	unarmedCombo2						
targetedShot	targetedShot						
unarmedSpinAttack2							
unarmedLunge2							
unarmedKnockdown2							
unarmedHit3
