male_template	female_template	health	strength	constitution	action	quickness	stamina	mind	focus	willpower
s	s	I	I	I	I	I	I	I	I	I
bothan_male	bothan_female	0	0	0	0	0	0	0	0	0
human_male	human_female	0	0	0	0	0	0	0	0	0
moncal_male	moncal_female	0	0	0	0	0	0	0	0	0
rodian_male	rodian_female	0	0	0	0	0	0	0	0	0
trandoshan_male	trandoshan_female	0	0	0	0	0	0	0	0	0
twilek_male	twilek_female	0	0	0	0	0	0	0	0	0
wookiee_male	wookiee_female	0	0	0	0	0	0	0	0	0
zabrak_male	zabrak_female	0	0	0	0	0	0	0	0	0
sullustan_male	sullustan_female	0	0	0	0	0	0	0	0	0
ithorian_male	ithorian_female	0	0	0	0	0	0	0	0	0
