male_template	female_template	min_health	max_health	min_strength	max_strength	min_constitution	max_constitution	min_action	max_action	min_quickness	max_quickness	min_stamina	max_stamina	min_mind	max_mind	min_focus	max_focus	min_willpower	max_willpower	total
s	s	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
bothan_male	bothan_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
human_male	human_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
moncal_male	moncal_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
rodian_male	rodian_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
trandoshan_male	trandoshan_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
twilek_male	twilek_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
wookiee_male	wookiee_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
zabrak_male	zabrak_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
sullustan_male	sullustan_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
ithorian_male	ithorian_female	1000	1000	0	0	1000	1000	300	300	0	0	500	500	300	300	0	0	1000	1000	4100
