hq	x	z	radius	max
s	f	f	f	i
hq_s01_imp.iff	0	15.3	15	10
hq_s01_imp_pvp.iff	0	15.3	15	10
hq_s01_rebel.iff	0	15.8	15	10
hq_s01_rebel_pvp.iff	0	15.8	15	10
hq_s02_imp.iff	0	26.5	15	10
hq_s02_imp_pvp.iff	0	26.5	15	10
hq_s02_rebel.iff	0	39.5	20	10
hq_s02_rebel_pvp.iff	0	39.5	20	10
hq_s03_imp.iff	0	38.5	20	15
hq_s03_imp_pvp.iff	0	38.5	20	15
hq_s03_rebel.iff	0	31.7	20	15
hq_s03_rebel_pvp.iff	0	31.7	20	15
hq_s04_imp.iff	0	30.5	25	20
hq_s04_imp_pvp.iff	0	30.5	25	20
hq_s04_rebel.iff	0	38	25	20
hq_s04_rebel_pvp.iff	0	38	25	20
