0x00070bcf	spacequest/destroy/npe_hard_main_1
0x00707d5e	quest/naboo_theed_goto_bragg
0x00836bde	quest/ep3_slaver_gursan_entry_quest
0x008c2131	spacequest/rescue/tatooine_imperial_tier4_3_a
0x008d6186	quest/corellia_coronet_capitol_problems_missing_shipment
0x00994e5c	spacequest/escort_duty/ep3_kash_station_escort_duty_imperial
0x00a55c9a	spacequest/destroy_surpriseattack/vortex_mission_1
0x00b1045b	spacequest/assassinate/stn_lok_nym_reb_tier2_3a
0x00e12ba6	quest/ep3_carl_surrogate_hunter
0x010ca03e	quest/corellia_droid_bunker_destroy_boss_droid
0x0160cd26	spacequest/destroy_surpriseattack/naboo_privateer_tier4_2b
0x019ad6c4	quest/smuggle_generic_2
0x01ae5679	quest/ep3_clone_relics_imprisoned_geonosian_1
0x01c33ecc	quest/test_reward
0x01cdae7f	quest/corellia_cb_side_2
0x01fc4464	quest/newbie_mayor_hooligans_gunrunners
0x02098d56	quest/npe_pointer_pilot
0x021c899e	quest/naboo_theed_meanwhile_associates
0x0245185b	quest/recovery_quest_rebel_02
0x02596a80	quest/ep3_hunt_johnson_help_kara
0x0281da00	quest/ep3_hunt_loot_greyclimber_killed
0x028c2c69	quest/ep3_gursan_slay_hsskas
0x02aaaf29	quest/naboo_boss_nass_artifacts_muskeg
0x02b404ba	spacequest/delivery_no_pickup/stn_dantooine_owner_all_mircropickup_tier2_01
0x02c07268	quest/c_ranged_combat_trainer
0x02c895fb	quest/npe_new_artisan_quest
0x02cc0ed7	quest/restuss_imperial_st3_destroy_installation_1
0x03020c89	spacequest/inspect/tatooine_imperial_tier3_2
0x030d3918	quest/recovery_quest_imperial_fail_06
0x0347e272	spacequest/destroy/master_imperial_1
0x035345ab	spacequest/space_battle/tatooine_station_hutt_palace_access_quest_3
0x0374171a	quest/chapter7_beginning_inventory_collection_02
0x038a1fb6	spacequest/recovery/ep3_hunting_banol_capture_fordan
0x03910c98	spacequest/space_battle/no_rank4_orion_03_01
0x03b81141	quest/borvo_acklay_biceps
0x03becb52	quest/chapter8_publish_gift_activation
0x03c091f1	spacequest/assassinate/viopa_rebel_4
0x03d31e92	quest/corellia_39_sidequest_04
0x0428a228	spacequest/patrol/tatooine_rebel_1
0x04295dc5	quest/talus_nashal_evolution
0x04371531	quest/quest_01_comlink_call_to_adventure_neg_faction
0x045b6c2e	quest/npe_job_pointer_rydel
0x04884cbb	quest/naboo_boss_nass_password_code
0x04a11a6b	quest/camp_gamma_canister_demo
0x04be03c8	quest/talus_nashal_goto_agent
0x04bfebcb	quest/newbie_mayor_hooligans_criminals_2
0x04daf91d	quest/ep3_mining_quest_4
0x050ffbae	spacequest/recovery_duty/corellia_imperial_tier4_3
0x051e91a5	spacequest/escort/no_rank2_02_02
0x05369821	spacequest/recovery/rori_station_reb_storyquest_01_b
0x0558be1b	quest/talus_dearic_coa_imperial_view
0x055a48d9	spacequest/patrol/npe_med_main_2d
0x055bcb73	quest/smuggle_generic_3
0x055f31c3	quest/npe_marksman_pistol
0x055fc662	quest/crash_site_03_reb_engineering
0x05609390	spacequest/assassinate/c_sink_reb_space
0x057e7d27	spacequest/destroy_duty/rori_station_rsf_destroy_duty_tier3
0x0588bbcd	quest/tatooine_eisley_gototori
0x058b7b8d	spacequest/survival/tatooine_rebel_tier4_2_b
0x05a1d091	spacequest/destroy_surpriseattack/naboo_privateer_tier4_2c
0x05b28d66	quest/corellia_coronet_capitol_problems_farm_aid
0x05d200eb	spacequest/escort/naboo_privateer_15
0x05f58d3c	spacequest/space_battle/no_rank4_nova_01_03
0x064fd7bf	spacequest/escort_duty/corellia_imperial_11
0x068405ec	quest/recovery_quest_rebel_03
0x06a6d798	spacequest/escort/corellia_rebel_tier3_3_c
0x06b57e05	quest/u13_ponda_pointer
0x06c91703	quest/tatooine_entha_race3_restart
0x070dcae5	quest/gcw_defend_imperial_turret
0x070f6cee	spacequest/rescue_duty/tatooine_imperial_tier4_rescueduty_1
0x07120325	quest/corellia_39_sidequest_05
0x074b3d3a	quest/npe_main_quest
0x074e9d5d	quest/ep3_neutral_sera_kill_10_wookiee
0x075fd4b0	quest/ep3_trando_hssissk_zssik_10
0x07677b48	spacequest/recovery/yavin_fallenstar_pt_2_recovery
0x077e7b1f	spacequest/escort/corellia_rebel_tier3_2_c
0x07a672bc	spacequest/assassinate/tatooine_privateer_tier1_4a
0x07b50aad	quest/chapter7_beginning_inventory_collection_03
0x07cc24af	quest/recovery_quest_imperial_fail_07
0x07f0407f	quest/naboo_theed_terrorist_booster
0x0809c2ac	spacequest/survival/naboo_rebel_tier3_3_b
0x082c6d17	quest/ep3_clone_relics_imprisoned_geonosian_3
0x0846fe9b	spacequest/destroy/corellia_rebel_2
0x08774196	quest/gcw_defend_rebel_tower
0x08786711	quest/corsec_captain_evidence
0x0881c16d	quest/naboo_deeja_peak_sequencer_parts
0x08babfdc	quest/ep3_hunt_harroom_uller_reward
0x0934281b	quest/tatooine_espa_body_building_v2
0x096b84f1	spacequest/patrol/tatooine_rebel_2
0x098530a1	spacequest/destroy/npe_hard_main_3
0x0991b7bd	quest/crash_site_03_imp_structures
0x09c18652	quest/huff_darklighter_dera
0x09c32dc1	spacequest/destroy_surpriseattack/ep3_trando_fezrik_04
0x09ceead5	spacequest/destroy_surpriseattack/corellia_station_mission3_3
0x0a0cffa9	quest/u16_nym_themepark_lab_boss
0x0a1337f6	spacequest/space_battle/no_rank4_orion_03_03
0x0a5125fc	quest/corellia_39_sidequest_06
0x0a54682b	quest/naboo_24_gungan_power_grab_02d
0x0a80a1fa	quest/test_escort
0x0a8f0276	quest/recovery_quest_imperial_fail_04
0x0a90fd57	spacequest/escort/naboo_imperial_tier3_3_a
0x0a9cac42	spacequest/recovery/corellia_imperial_tier4_4_a
0x0aaffc3e	quest/travel_found
0x0ac06e73	quest/crash_site_04_imp_munitions
0x0b1ea348	spacequest/delivery_no_pickup/npe_easy_main_1c
0x0bb3bb85	spacequest/recovery_duty/naboo_privateer_tier4_1
0x0bb89ba2	spacequest/survival/naboo_rebel_tier3_1_b
0x0bcd2066	spacequest/space_mining_destroy/restuss_imperial_lok_mining_1
0x0bfc6872	spacequest/delivery_no_pickup/corellia_imperial_tier4_2_b
0x0c1043c5	quest/legacy_naboo_back_to_imperial
0x0c1bb646	spacequest/survival/tatooine_rebel_tier4_4_a
0x0c227d07	spacequest/destroy_surpriseattack/naboo_rebel_tier4_2_b
0x0c2eadc0	spacequest/delivery_no_pickup/naboo_imperial_tier3_1_b
0x0c3e412b	quest/npe_job_pointer_dartas
0x0c74e386	quest/newbie_ranged_combat
0x0c81758d	quest/corellia_coronet_capitol_problems_missing_shipment_intro
0x0c8e88a6	quest/corellia_cb_side_1
0x0c90b762	quest/npe_pointer_bounty_template
0x0c970366	quest/outbreak_quest_01_b_neutral
0x0c9cadb4	quest/mtp_meatlump_king_story
0x0cd9f01d	quest/smuggle_generic_1
0x0ced70a0	quest/ep3_clone_relics_imprisoned_geonosian_2
0x0cef2b5b	quest/mtp_map_quest_endor_01
0x0d028539	spacequest/survival/naboo_rebel_tier3_4_b
0x0d0ff422	spacequest/rescue/stn_yavin4_imp_imperial_tier2_2
0x0d2c00d6	quest/npe_job_pointer_inaldra
0x0d442d16	spacequest/destroy/npe_hard_main_2
0x0d576483	spacequest/assassinate/naboo_rebel_4
0x0dc88fef	quest/corellia_tyrena_forgotten_child
0x0df77aec	quest/chapter7_give_datapad_reward
0x0e04c4ab	spacequest/destroy/master_imperial_2
0x0e0ae856	quest/ep3_hunt_sordaan_mouf_bet
0x0e2bbfe4	quest/tatooine_anchorjobs_return_ordo
0x0e35bfe9	quest/crash_site_06_reb_munitions
0x0e3731c3	quest/chapter7_beginning_inventory_collection_01
0x0e456947	spacequest/patrol/npe_med_main_1
0x0e4e1fc1	quest/recovery_quest_imperial_fail_05
0x0e62af2d	spacequest/space_battle/naboo_privateer_tier4_4a
0x0e6388dc	spacequest/survival/naboo_rebel_tier4_1
0x0e8cf6d0	spacequest/destroy_duty/stn_lok_nym_reb_tier2_1
0x0e90384b	quest/corellia_39_sidequest_07
0x0e9d2868	quest/som_jedi_dog
0x0ea1a2ab	spacequest/destroy_surpriseattack/tatooine_privateer_tier4_3c_sa
0x0ebfaca3	quest/camp_alpha_defense_04
0x0ed22a41	spacequest/space_battle/no_rank4_orion_03_02
0x0f063e82	quest/recovery_quest_rebel_01
0x0f08398c	spacequest/patrol/corellia_imperial_15
0x0f1f5fa1	quest/talus_nashal_exploit_weakness
0x0f251975	quest/npe_medic
0x0f98db94	spacequest/patrol/stn_dantooine_owner_all_repairmission_tier2_5
0x0f9bbac2	spacequest/escort/naboo_imperial_tier3_4_a
0x0f9c71a9	quest/crash_site_01_imp_engineering
0x0f9f562e	quest/ep3_hunt_sordaan_walluga_bet
0x0fef0d79	quest/som_jundak_skull
0x10094fc4	quest/recovery_quest_imperial_fail_02
0x106ad63e	spacequest/patrol/corellia_privateer_1
0x106df343	quest/crash_site_03_imp_munitions
0x1091971c	quest/ep3_forest_outcast_assassin_2
0x10af0363	spacequest/escort_duty/corellia_privateer_7
0x10d22599	quest/naboo_24_gungan_power_grab_02b
0x10de0714	spacequest/destroy_duty/corellia_rebel_6
0x10f8fca6	quest/camp_alpha_defense_03
0x112cf9cb	spacequest/recovery/tatooine_imperial_tier4_2
0x11416e87	quest/recovery_quest_rebel_06
0x11758424	quest/ep3_forest_ardon_quest_2
0x11fac2d8	quest/tatooine_eisley_gotosmug
0x11fd8f4f	spacequest/survival/corellia_imperial_tier3_2_a
0x1214f393	quest/rebel_phase_1
0x1232e574	spacequest/destroy_duty/tatooine_privateer_6
0x12492002	spacequest/assassinate/corellia_imperial_4
0x1258e965	quest/npe_han_comm_medic
0x125f81b9	quest/test_grant_quest_fail
0x128cf73f	quest/crash_site_02_reb_engineering
0x1306aa8c	spacequest/assassinate/tatooine_knives_riposte_assassinate
0x131f9276	quest/ep3_mining_quest_1
0x134780a8	quest/talus_dearic_goto_dathnaeya
0x139f581b	quest/som_kenobi_main_quest_killed
0x13b6bd95	quest/recovery_quest_rebel_autograph
0x13daabe0	quest/u13_ponda_02
0x1413382e	quest/naboo_24_gungan_power_grab_02c
0x141675f9	quest/corellia_39_sidequest_01
0x141ec7e0	spacequest/patrol/naboo_typho_pilot_one
0x1439e111	quest/camp_alpha_defense_02
0x145467f3	spacequest/space_battle/no_rank4_orion_03_04
0x149822d9	quest/crash_site_01_reb_munitions
0x14b11329	spacequest/escort/tatooine_imperial_3
0x14c02f89	spacequest/escort/npe_training_3
0x14c17064	spacequest/survival/corellia_rebel_tier4_1
0x14c85273	quest/recovery_quest_imperial_fail_03
0x14cf22cc	quest/c_newbie_quest1a
0x14ddfc97	spacequest/assassinate/tatooine_imperial_tier3_4_c
0x14de40e7	quest/talus_nashal_grim_discovery
