effectName	performanceType	requiredSkillModValue	requiredPerforming	targetType	effectDuration	effectActionCost
s	s	i[1]	b	"e(stationary=1,target=2,self=3)[self]"	f[10.0]	i[0]
Dazzle1	"music,dance"	10	1	self	5	60
Dazzle2	"music,dance"	30	1	self	5	60
Dazzle3	"music,dance"	75	1	self	5	60
Distract1	dance	20	1	self	2	90
Distract2	dance	50	1	self	5	90
Distract3	dance	75	1	self	5	90
SpotLight1	"music,dance"	10	1	self	2	60
SpotLight2	"music,dance"	20	1	self	2	60
SpotLight3	"music,dance"	30	1	self	2	60
ColorLights1	"music,dance"	10	1	self	2	60
ColorLights2	"music,dance"	20	1	self	2	60
ColorLights3	"music,dance"	50	1	self	2	60
SmokeBomb1	dance	30	1	stationary	5	120
SmokeBomb2	dance	50	1	stationary	5	120
SmokeBomb3	dance	75	1	stationary	5	120
FireJets1	music	20	1	stationary	5	90
FireJets2	music	50	1	stationary	5	90
FireJets3	music	75	1	stationary	5	90
Ventriloquism1	music	30	1	target	10	120
Ventriloquism2	music	50	1	target	10	120
Ventriloquism3	music	75	1	target	10	120
CenterStage	dance	10	1	stationary	3	120
CenterStage	dance	10	1	stationary	3	120
CenterStage	dance	10	1	stationary	3	120
ColorSwirl	dance	10	1	target	3	90
ColorSwirl	dance	10	1	target	3	90
ColorSwirl	dance	10	1	target	3	90
DanceFloor	dance	10	1	stationary	3	150
DanceFloor	dance	10	1	stationary	3	150
DanceFloor	dance	10	1	stationary	3	150
FeaturedSolo	music	10	1	self	3	150
FeaturedSolo	music	10	1	self	3	150
FeaturedSolo	music	10	1	self	3	150
FireJetsB	music	10	1	self	3	120
FireJetsB	music	10	1	self	3	120
FireJetsB	music	10	1	self	3	120
LaserShow	music	10	1	self	3	90
LaserShow	music	10	1	self	3	90
LaserShow	music	10	1	self	3	90
