quest_type	convo	quest_giver_convo	quest_npc_convo	overall_objvar	temp_objvar	deliver_object	retrieve_object	player_script	npc_script	npc_type	npc_name	reward	reward_objvar	reward_objvar_value	reward2	reward2_objvar	reward2_objvar_value	reward3	reward3_objvar	reward3_objvar_value	reward4	reward4_objvar	reward4_objvar_value	faction reward	faction_reward_amount	faction_reward2	faction_reward2_amount	faction_reward3	faction_reward3_amount	faction_reward4	faction_reward4_amount	credits	quest_x_loc	quest_y_loc	quest_z_loc	quest_planet_loc	quest_leg	extra_npc	extra_npc_disposition	extra_npc2	extra_npc2_disposition	extra_npc3	extra_npc3_disposition	extra_npc4	extra_npc4_disposition	extra_spawn	spawn_delay	spawn_frequency	spawn_cap	spawn_radius	spawn_script	spawn_action1	spawn_action2	spawn_action3	spawn_action4	encounter_table
s	s	s[normal]	s[normal]	s	s	s[none]	s[none]	s	s	s	s	s[none]	s	i	s[none]	s	i	s[none]	s	i	s[none]	s	i	s[none]	i	s[none]	i	s[none]	i	s[none]	i	i[0]	i	i	i	s	i	s	s[neutral]	s	s[neutral]	s	s[neutral]	s	s[neutral]	s[none]	i	i	i	i	s	s	s	s	s	s

fetch	random_quest/noble	normal	terse	random.noble	noble		object/tangible/loot/misc/glass_heirloom_s01.iff	npc.random_quest.quest_player	npc.random_quest.quest_npc	thug		object/tangible/loot/misc/basket_expensive_s01.iff																																												
fetch	random_quest/noble	normal	terse	random.noble	noble		object/tangible/loot/misc/ledger_s01.iff	npc.random_quest.quest_player	npc.random_quest.quest_npc	thug		object/tangible/loot/misc/proclamation_s01.iff																																												
fetch	random_quest/noble	normal	terse	random.noble	noble		object/tangible/loot/misc/hyperdrive_part_s01.iff	npc.random_quest.quest_player	npc.random_quest.quest_npc	thug		object/tangible/loot/misc/picture_handheld_s02.iff																																												
fetch	random_quest/noble	normal	terse	random.noble	noble		object/tangible/loot/misc/bowl_s01.iff	npc.random_quest.quest_player	npc.random_quest.quest_npc	thug		object/tangible/loot/misc/recording_rod_s01.iff																																												
escort	random_quest/noble	normal	terse	random.noble	noble			npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/glass_heirloom_s01.iff																																												
escort	random_quest/noble	normal	terse	random.noble	noble			npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/ledger_s01.iff																																												
escort	random_quest/noble	normal	terse	random.noble	noble			npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/hyperdrive_part_s01.iff																																												
escort	random_quest/noble	normal	terse	random.noble	noble			npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/bowl_s01.iff																																												
deliver	random_quest/noble	normal	terse	random.noble	noble	object/tangible/loot/misc/camera_s01.iff		npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/firework_dud_s1.iff																																												
deliver	random_quest/noble	normal	terse	random.noble	noble	object/tangible/loot/misc/briefcase_s01.iff		npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/firework_dud_s2.iff																																												
deliver	random_quest/noble	normal	terse	random.noble	noble	object/tangible/loot/misc/hyperdrive_part_s01.iff		npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/picture_handheld_s02.iff																																												
deliver	random_quest/noble	normal	terse	random.noble	noble	object/tangible/loot/misc/bowl_s01.iff		npc.random_quest.quest_player	npc.random_quest.quest_npc	noble		object/tangible/loot/misc/recording_rod_s01.iff																																												
