transaction_type	rank0	rank1	rank2	rank3	rank4	rank5	rank6	rank7	rank8	rank9	rank10	rank11
s	i	i	i	i	i	i	i	i	i	i	i	i
nj_xp_gain	0	0	0	0	0	0	0	0	0	0	0	0
nj_xp_loss	500	600	782	1019	1300	1618	1969	2352	2762	3200	3662	4148
bh_xp_gain	500	500	500	500	500	500	500	500	500	500	500	500
bh_xp_loss	1000	1250	1707	2299	3000	3795	4674	5630	6656	7750	8905	10120
pw_xp_gain	200	200	200	200	200	200	200	200	200	200	200	200
pw_xp_loss	500	650	924	1279	1700	2177	2704	3278	3894	4550	5243	5972
r0_xp_gain	750	750	750	750	750	750	750	750	750	750	750	750
r0_xp_loss	250	400	674	1029	1450	1927	2454	3028	3644	4300	4993	5722
r1_xp_gain	900	900	900	900	900	900	900	900	900	900	900	900
r1_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r2_xp_gain	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357	1357
r2_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r3_xp_gain	2123	2123	2123	2123	2123	2123	2123	2123	2123	2123	2123	2123
r3_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r4_xp_gain	2941	2941	2941	2941	2941	2941	2941	2941	2941	2941	2941	2941
r4_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r5_xp_gain	3805	3805	3805	3805	3805	3805	3805	3805	3805	3805	3805	3805
r5_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r6_xp_gain	4712	4712	4712	4712	4712	4712	4712	4712	4712	4712	4712	4712
r6_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r7_xp_gain	5659	5659	5659	5659	5659	5659	5659	5659	5659	5659	5659	5659
r7_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r8_xp_gain	6643	6643	6643	6643	6643	6643	6643	6643	6643	6643	6643	6643
r8_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r9_xp_gain	7662	7662	7662	7662	7662	7662	7662	7662	7662	7662	7662	7662
r9_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r10_xp_gain	8715	8715	8715	8715	8715	8715	8715	8715	8715	8715	8715	8715
r10_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
r11_xp_gain	9799	9799	9799	9799	9799	9799	9799	9799	9799	9799	9799	9799
r11_xp_loss	100	250	524	879	1300	1777	2304	2878	3494	4150	4843	5572
