REGION_NAME	WEIGHT
s	I[0]
@naboo_region_names:theed_easy_newbie	5
@naboo_region_names:theed_medium_newbie	6
@naboo_region_names:keren_easy_newbie	5
@naboo_region_names:keren_medium_newbie	6
@naboo_region_names:deeja_easy_newbie	1
@naboo_region_names:deeja_medium_newbie	2
@naboo_region_names:beachtown_easy_newbie	7
@naboo_region_names:beachtown_medium_newbie	8
@naboo_region_names:moenia_easy_newbie	-10
@naboo_region_names:moenia_medium_newbie	-10
@naboo_region_names:southwest_swamp	2
@naboo_region_names:southeast_swamp	-8
@naboo_region_names:central_jungle_swamp	3
@naboo_region_names:north_eastern_jungle_swamp	3
@naboo_region_names:eastern_jungle_swamp	3
@naboo_region_names:central_mountain_range	4
@naboo_region_names:southwest_mountain_circle	2
@naboo_region_names:northern_plains	3
@naboo_region_names:eastern_mountains	-3
@naboo_region_names:central_mountain_circle	10
	
	
	
	
	
	
	
	
	
