REGION_NAME	WEIGHT
s	I[0]
@corellia_region_names:coronet_easy_newbie	-6
@corellia_region_names:coronet_medium_newbie	-4
@corellia_region_names:tyrena_easy_newbie	-6
@corellia_region_names:tyrena_medium_newbie	-4
@corellia_region_names:bela_vistal_easy_newbie	-8
@corellia_region_names:bela_vistal_medium_newbie	-6
@corellia_region_names:kor_vella_easy_newbie	8
@corellia_region_names:kor_vella_medium_newbie	7
@corellia_region_names:doaba_guefel_easy_newbie	-6
@corellia_region_names:doaba_guefel_medium_newbie	-4
@corellia_region_names:vreni_island_medium_newbie	-4
@corellia_region_names:central_plains	-3
@corellia_region_names:agrilat_swamp	-10
@corellia_region_names:southeast_plains	-5
@corellia_region_names:east_sea_coast	-3
@corellia_region_names:western_plains	3
@corellia_region_names:north_central_mountains	-1
@corellia_region_names:northwest_plains	6
@corellia_region_names:northwest_mountains	-10
@corellia_region_names:northwest_mountain_peak	3
@corellia_region_names:northeast_mountains	-5
@corellia_region_names:southeast_mountain_range	-8
@corellia_region_names:southeast_mountain_peak	-8
@corellia_region_names:forest_1	2
@corellia_region_names:forest_2	1
@corellia_region_names:forest_3	1
@corellia_region_names:northwest_forest	-10
@corellia_region_names:western_mountain_forest	6
@corellia_region_names:southwest_forest	-3
	
