REGION_NAME	WEIGHT
s	I[0]
@dantooine_region_names:northern_mountains	-10
@dantooine_region_names:western_mountains	-4
@dantooine_region_names:eastern_mountains	-10
@dantooine_region_names:southern_mountains	-5
@dantooine_region_names:southwest_stepes	8
@dantooine_region_names:northwest_stepes	3
@dantooine_region_names:northern_plains	-3
@dantooine_region_names:southern_plains	3
@dantooine_region_names:medium_bol_nw	3
@dantooine_region_names:hard_dantari_nw	3
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
