REGION_NAME	WEIGHT
s	I[0]
@talus_region_names:dearic_easy_newbie	-8
@talus_region_names:dearic_medium_newbie	-7
@talus_region_names:nashal_easy_newbie	-8
@talus_region_names:nashal_medium_newbie	-7
@talus_region_names:northeast_forest	-5
@talus_region_names:northwest_forest	3
@talus_region_names:southwest_forest	-4
@talus_region_names:northern_forest	3
@talus_region_names:western_mountains	-5
@talus_region_names:northern_mountains	-6
@talus_region_names:eastern_mountains	-8
@talus_region_names:southern_coast	-7
@talus_region_names:eastern_plains	-8
@talus_region_names:central_plains	-5
@talus_region_names:western_plains	6
	
	
	
	
	
	
	
	
	
	
	
	
	
