REGION_NAME	WEIGHT
s	I[0]
@endor_region_names:central_desert	-10
@endor_region_names:eastern_desert	-10
@endor_region_names:central_forest	4
@endor_region_names:southeast_forest	-3
@endor_region_names:northeast_plains	-5
@endor_region_names:northwest_plains	-5
@endor_region_names:central_peak	5
@endor_region_names:southeast_peak	-3
@endor_region_names:southwest_peak	-3
@endor_region_names:western_mountains	-10
@endor_region_names:northern_mountains	-10
@endor_region_names:eastern_mountains	-10
@endor_region_names:northern_peak	-10
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
