REGION_NAME	WEIGHT
s	I[0]
@tatooine_region_names:central_mountains	3
@tatooine_region_names:southeastern_mountains	-3
@tatooine_region_names:northwestern_mountains	7
@tatooine_region_names:northern_wasteland	-5
@tatooine_region_names:southern_reach	3
@tatooine_region_names:eastern_peaks	-5
@tatooine_region_names:northeastern_desert	1
@tatooine_region_names:southwestern_desert	-6
@tatooine_region_names:hard_dune_sea	-8
@tatooine_region_names:mos_entha_medium_newbie	3
@tatooine_region_names:mos_entha_easy_newbie	3
@tatooine_region_names:mos_taike_easy_newbie	3
@tatooine_region_names:mos_taike_medium_newbie	3
@tatooine_region_names:bestine_medium_newbie	10
@tatooine_region_names:bestine_easy_newbie	6
@tatooine_region_names:anchorhead_easy_newbie	-10
@tatooine_region_names:anchorhead_medium_newbie	-10
@tatooine_region_names:wayfar_easy_newbie	-5
@tatooine_region_names:wayfar_medium_newbie	-5
@tatooine_region_names:mos_eisley_easy_newbie	3
@tatooine_region_names:mos_eisley_medium_newbie	3
@tatooine_region_names:jabba_lowbie_zone	-10
@tatooine_region_names:lowland_basin	3
@tatooine_region_names:jundland_wastes	3
@tatooine_region_names:mos_espa_medium_newbie	6
@tatooine_region_names:mos_espa_easy_newbie	8
	
	
	
