REGION_NAME	WEIGHT
s	I[0]
@rori_region_names:narmle_easy_newbie	3
@rori_region_names:narmle_medium_newbie	6
@rori_region_names:restuss_easy_newbie	3
@rori_region_names:restuss_medium_newbie	6
@rori_region_names:western_mountains	-3
@rori_region_names:northwest_mountains	-3
@rori_region_names:northeast_mountains	-3
@rori_region_names:eastern_mountains	-3
@rori_region_names:southern_jungle_mountains	-5
@rori_region_names:northern_peak	-3
@rori_region_names:western_peak	3
@rori_region_names:northwest_peak	-3
@rori_region_names:eastern_peak	-3
@rori_region_names:southwest_jungle_peak	-5
@rori_region_names:southeast_jungle_peak	-10
@rori_region_names:jungle_1	-3
@rori_region_names:jungle_2	-3
@rori_region_names:jungle_3	-10
@rori_region_names:swamp_1	3
@rori_region_names:swamp_2	3
@rori_region_names:swamp_3	4
@rori_region_names:swamp_4	5
@rori_region_names:swamp_5	5
@rori_region_names:eastern_jungle_plains	1
@rori_region_names:central_water_swamp	3
	
	
	
