beastFoodName	beastLocationName	beastActivityName	tatooineAlternates	dathomirAlternates	lokAlternates
s[none]	s[none]	s[none]	s[none]	s[none]	s[none]
beastfood_stringy_meat_substitute.iff	tatooine	killNpc	heroic_tusken_army	heroic_axkva_min	heroic_ig88
beastfood_tender_meat_substitute.iff	corellia	killCreature			
beastfood_fatty_meat_substitute.iff	naboo	grouped			
beastfood_cooked_meat_substitute.iff	dantooine	trick			
beastfood_juicy_fruit_substitute.iff	dathomir	watchingEntertainer			
beastfood_dry_fruit_substitute.iff	lok				
beastfood_sweet_fruit_substitute.iff	mustafar				
beastfood_sour_fruit_substitute.iff	kashyyyk				
beastfood_coarse_fish_substitute.iff	talus				
beastfood_blubbery_fish_substitute.iff	rori				
beastfood_fatty_fish_substitute.iff					
beastfood_cooked_fish_substitute.iff					
