Level	HP	Action	HealthRegen	ActionRegen	MindRegen	Regen	CombatRegen	MinDmg	MaxDmg	ToHit	Def	Armor	XP
i	i	i[100]	i	i	i	f	f	i	i	i	i	i	i
1	2000	100	143	4	1000	100	1	16	72	5	5	200	100
2	2115	100	143	4	1000	100	1	52	116	10	10	400	1300
3	2225	100	143	4	1000	100	1	80	164	15	15	600	3600
4	2335	100	143	4	1000	100	1	116	212	18	18	800	7000
5	2445	100	143	4	1000	100	1	148	222	21	21	1000	11500
6	2560	100	143	4	1000	100	1	156	230	25	25	1200	17200
7	2670	100	143	4	1000	100	1	164	244	35	35	1400	24000
8	2780	100	143	4	1000	100	1	172	280	36	36	1600	31900
9	2890	100	143	4	1000	100	1	196	312	37	37	1800	40900
10	3000	100	143	4	1000	100	1	216	344	38	38	2000	51100
11	3075	100	143	4	1000	100	1	312	488	39	39	2067	62400
12	3150	100	143	4	1000	100	1	340	528	40	40	2133	74800
13	3225	100	143	4	1000	100	1	343	532	41	41	2200	88300
14	3300	100	143	4	1000	100	1	345	535	42	42	2267	102900
15	3375	100	143	4	1000	100	1	348	539	43	43	2333	118700
16	3450	100	143	4	1000	100	1	351	542	50	50	2400	135600
17	3525	100	143	4	1000	100	1	353	546	61	61	2467	153600
18	3600	100	143	4	1000	100	1	356	549	63	63	2533	172700
19	3675	100	143	4	1000	100	1	359	553	65	65	2600	193000
20	3750	100	143	4	1000	100	1	361	556	67	67	2667	214400
21	3825	100	143	4	1000	100	1	364	560	68	68	2733	236900
22	3900	100	143	4	1000	100	1	367	563	70	70	2800	260500
23	3975	100	143	4	1000	100	1	369	567	71	71	2867	285200
24	4050	100	143	4	1000	100	1	372	570	72	72	2933	311100
25	4125	100	143	4	1000	100	1	375	574	74	74	3000	338100
26	4200	100	143	4	1000	100	1	378	578	75	75	3143	366200
27	4275	100	143	4	1000	100	1	380	581	76	76	3286	395400
28	4350	100	143	4	1000	100	1	383	585	77	77	3429	425800
29	4425	100	143	4	1000	100	1	386	588	79	79	3571	457300
30	4500	100	143	4	1000	100	1	388	592	80	80	3714	489900
31	4625	100	143	4	1000	100	1	391	595	81	81	3857	523600
32	4750	100	143	4	1000	100	1	394	599	83	83	4000	558400
33	4870	100	143	4	1000	100	1	396	602	84	84	4022	594400
34	4995	100	143	4	1000	100	1	399	606	85	85	4044	631500
35	5120	100	147	4	1000	100	1	402	609	87	87	4067	669700
36	5240	100	150	4	1000	100	1	404	613	88	88	4089	709000
37	5365	100	153	4	1000	100	1	407	617	89	89	4111	749500
38	5490	100	157	4	1000	100	1	410	620	90	90	4133	791100
39	5610	100	160	4	1000	100	1	412	624	92	92	4156	833800
40	5735	100	163	4	1000	100	1	415	627	93	93	4178	877600
41	5860	100	167	4	1000	100	1	418	631	94	94	4200	922500
42	5980	100	170	4	1000	100	1	420	634	96	96	4222	968600
43	6135	100	173	4	1000	100	1	423	638	97	97	4244	1015800
44	6535	100	177	4	1000	100	1	426	641	98	98	4267	1064100
45	6935	100	180	4	1000	100	1	428	645	99	99	4289	1113500
46	7335	100	183	4	1000	100	1	431	648	101	101	4311	1164100
47	7735	100	187	4	1000	100	1	432	652	102	102	4333	1215800
48	7870	100	190	4	1000	100	1	433	653	103	103	4356	1268600
49	8000	100	193	4	1000	100	1	435	654	105	105	4378	1322500
50	8375	100	197	4	1000	100	1	436	655	106	106	4400	1377600
51	8750	100	200	4	1000	100	1	439	659	107	107	4407	1433800
52	9065	100	203	4	1000	100	1	442	663	109	109	4413	1491100
53	9375	100	207	4	1000	100	1	445	667	110	110	4420	1549500
54	9625	100	210	4	1000	100	1	448	671	111	111	4427	1609000
55	9695	100	213	4	1000	100	1	451	675	113	113	4433	1669700
56	9765	100	217	4	1000	100	1	454	680	114	114	4440	1731500
57	9830	100	220	4	1000	100	1	457	685	115	115	4447	1794400
58	9900	100	223	4	1000	100	1	460	690	116	116	4453	1858400
59	9970	100	227	4	1000	100	1	463	695	118	118	4460	1923600
60	10040	100	230	4	1000	100	1	466	700	119	119	4467	1989900
61	10110	100	233	4	1000	100	1	469	705	120	120	4473	2057300
62	10225	100	237	4	1000	100	1	475	715	122	122	4480	2125800
63	10570	100	240	4	1000	100	1	481	725	123	123	4487	2195400
64	10915	100	243	4	1000	100	1	487	735	124	124	4493	2266200
65	11225	100	247	4	1000	100	1	493	745	126	126	4500	2338100
66	11550	100	250	4	1000	100	1	499	755	127	127	4575	2411100
