fltTime	strActor	strAction	strTarget	strData1	strData2	intTime	strComments
f	s	s	s	s	s	i	c
1.5	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef			
2	droid	tutorialComm	player	droid_1	sound/vo_c3po_1c.snd	6	"hello, hello, awake, etc"
5	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef			
7	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef			
8	droid	tutorialComm	player	droid_2	sound/vo_c3po_2c.snd	9	"oh good, etc!"
15	droid	tutorialComm	player	droid_3	sound/vo_c3po_3c.snd	6	"look around, zoom in/out, etc"
22	droid	tutorialComm	player	droid_xp_bar	sound/vo_c3po_9a.snd	10	explain xp
29	droid	tutorialComm	player	droid_4	sound/vo_c3po_4c.snd	8	walk to the droid
29.01	player	messageTo	self	setupWalkTrigger			
29.02		secondTable		npe_hangar_1_tutorial_1			
30	droid	tutorialComm	player	droid_5	sound/vo_c3po_5c.snd	11	try talking to 2-1b
30.01	player	messageTo	self	setupDroidConversation			
30.02		secondTable		npe_hangar_1_tutorial_8			
31	droid	tutorialComm	player	droid_6	sound/vo_c3po_6c.snd	9	open the cabinet
31.01	player	messageTo	self	setupCabinet			
31.02		secondTable		npe_hangar_1_tutorial_2			
32	droid	tutorialComm	player	droid_7	sound/vo_c3po_7c.snd	8	open inventory
32.01	player	messageTo	self	setupInv			
32.02		secondTable		npe_hangar_1_tutorial_3			
33	droid	tutorialComm	player	droid_8	sound/vo_c3po_9c.snd	10	equip pistol
33.01	player	messageTo	self	setupPistol			
33.02		secondTable		npe_hangar_1_tutorial_4			
34	droid	tutorialComm	player	droid_9	sound/vo_c3po_10c.snd	11	"good, you can equip"
34.01	player	messageTo	self	setupCrates			
34.02		secondTable		npe_hangar_1_tutorial_5			
35	droid	tutorialComm	player	droid_10	sound/vo_c3po_11c.snd	10	give quest to destroy panel
39	player	messageTo	self	giveTerminalQuest			
39.01	player	messageTo	self	setupTerminal			
39.02	player	messageTo	self	setupHan			
39.03		secondTable		npe_hangar_1_tutorial_6			
39.04	player	messageTo	self	setuphuttwave1			
40	player	effect	hanStart	clienteffect/npe_smoke_bomb.cef			
41	player	effect	chewieStart	clienteffect/npe_smoke_bomb.cef			
43	player	playmusic		sound/mus_npe2_han_hanger_os.snd			
44	hanSolo	saySound	player	han_tutorial_1	sound/vo_han_solo_1c.snd		no wonder empire grabbed etc…
46	player	effect	chewie	clienteffect/npe_wookiee_voc_01.cef			
51	hanSolo	saySound	player	han_tutorial_2	sound/vo_han_solo_2c.snd		what the?
52	player	messageTo	self	setupHanPath			
53	hanSolo	moveTo	han1	run			
54	chewie	moveTo	chewie1	run			
55	r2	moveTo	dayan1	run			
62		secondTable		npe_hangar_1_tutorial_7			
63	player	playmusic		sound/mus_npe2_mara_jade_empire_combat_os.snd			
65	hutt1	saySound	player	hutt_tutorial_1	sound/vo_stormtrooper_1.snd		
67	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_5_single_medium_face			
67.1	hanSolo	moveTo	hanKneel1	run			
67.5	chewie	moveTo	jolkaKneel1	run	
68	r2	moveTo	dayanKneel1	run	
69	player	messageTo	self	makehuttwave1attack	
69.1		secondTable		npe_hangar_1_loop_1	
70	chewie	posture		stand	
71	hanSolo	posture		stand	
74	hanSolo	saySound	player	han_tutorial_9	sound/vo_han_solo_2ca.snd
75	player	effect	huttsmoke1	clienteffect/npe_explosion_01.cef	
75.5	player	effect	chewie	clienteffect/npe_wookiee_voc_01.cef	
75.7	player	effect	huttrun	clienteffect/npe_explosion_01.cef	
76	player	effect	huttsmoke1	clienteffect/npe_explosion_01.cef	
76.2	hanSolo	moveTo	tutorialHutt2	run	
76.5	player	effect	huttsmoke3	clienteffect/npe_explosion_01.cef	
77	chewie	moveTo	tutorialHutt1	run	
77.2	player	effect	huttsmoke2	clienteffect/npe_explosion_02.cef	
77.3	r2	moveTo	tutorialHutt3	run	
78	player	messageTo	self	finishedTutorial
79		secondTable		npe_hangar_1_loop_2
80		stop		
