fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
5	bartender	faceTo	patron1			
6	bartender	animation		thumb_up		
8	patron1	animation		nod_head_multiple		
10	bartender	animation		point_forward		
14	bartender	animation		expect_tip		
14.5	patron1	animation		point_forward		
18	patron2	faceTo	bartender			
19	patron2	animation		wave1		
19.5	bartender	animation		explain		
20	patron1	animation		listen		
22	patron2	animation		wave1		
23	bartender	animation		airguitar		
23.5	patron1	animation		laugh		
24	patron2	animation		stamp_feet		
27	patron1	animation		rub_belly
27.5	bartender	animation		laugh
29	patron2	animation		beckon
31	bartender	animation		explain
31.5	patron1	animation		listen
33	patron1	animation		laugh
33.1	patron2	animation		scream
34	bartender	faceTo	patron2	
34.1	patron1	faceTo	patron2	
35	bartender	animation		point_accusingly
39	patron2	animation		apologize
40	bartender	moveTo	bar1	walk
44	bartender	faceTo	patron2	
46	patron2	faceTo	bartender	
47	patron1	animation		loser
48	patron2	animation		explain
51	bartender	animation		shake_head_no
53	patron2	animation		explain
54	patron1	animation		mock
57	bartender	animation		shake_head_no
60	patron2	animation		shrug_hands
62	bartender	animation		shakefist
63	patron1	animation		belly_laugh
67	bartender	moveTo	bar2	walk
68	patron2	animation		weeping
71	bartender	faceTo	patron1	
71.5	patron1	faceTo	bartender	
75		goto		0
