fltTime	strActor	strAction	strTarget	strData1	strData2	intTime
f	s	s	s	s	s	i
0.5	player	playmusic		sound/mus_npe2_falcon_theme_os.snd		
1	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
2	hanSolo	saySound	player	han_tutorial_1	sound/vo_han_solo_3c.snd	6
3	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
4	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
5	player	effect	player	clienteffect/npe_millennium_hyperdrive_fail.cef		
6	chewie	wookieeComm	player	chewie_2	sound/voc_shyriiwook_comm_rand.snd	5
7	hanSolo	animation		smack_self		
9	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
10	hanSolo	saySound	player	han_tutorial_2	sound/vo_han_solo_4c.snd	6
12	hanSolo	animation		sigh_deeply		
13	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
14	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
15	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
19	vader	vaderComm	player	vader_1	sound/vo_vader_54.snd	6
19.5	player	messageTo	self	setupTurretPath		
20	hanSolo	moveTo	hanTurret3	run		
21	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
23	player	effect	player	clienteffect/npe_millennium_falcon_shake.cef		
24.6	hanSolo	faceTo	ladder			
25	hanSolo	saySound	player	han_5	sound/han_15.snd	
25.1	hanSolo	animation		point_forward		
30	droid	tutorialComm	player	popup_4	sound/c3po_97b.snd	3
30.1	player	setScriptVar	player	npe.readyForTurret	yes	
30.2		secondTable		npe_millennium_falcon_loop_3		
30.3		secondTable		npe_millennium_falcon_loop_2		
31	hanSolo	hanComm	player	han_tutorial_3	sound/vo_han_solo_8c.snd	6
36	droid	tutorialComm	player	droid_1	sound/c3po_58b.snd	6
36.01	player	messageTo	self	finishedturret		
36.1		secondTable		npe_millennium_falcon_loop_4		
36.15	player	messageTo	self	setupCockpitPath	
36.2	player	setScriptVar	player	npe.readyForHyperspace	yes
37		secondTable		npe_millennium_falcon_loop_5	
38		stop			
