fltTime	strActor	strAction	strTarget	strData1	strData2	intTime
f	s	s	s	s	s	i
0.1	hanSolo	saySound	player	han_tutorial_3	sound/han_6.snd	
0.15	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
0.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face		
0.75	hutt3	combatAnimation	r2	fire_3_single_medium_face		
1.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
1.75	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
2.75	hanSolo	posture		kneel		
3.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
3.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
4.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face		
4.75	hutt3	combatAnimation	r2	fire_3_single_medium_face		
5.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
5.75	chewie	posture		kneel		
6.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
6.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
7.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face
7.75	hutt3	combatAnimation	r2	fire_3_single_medium_face
8.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
8.75	chewie	posture		kneel
9.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
9.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
10.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face
10.75	hutt3	combatAnimation	r2	fire_3_single_medium_face
11.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
11.75	chewie	posture		kneel
12.25	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
12.75	hutt2	combatAnimation	chewie	fire_3_single_medium_face
13.25	hutt3	combatAnimation	r2	fire_3_single_medium_face
13.75	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
14.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
14.75	hanSolo	posture		kneel		
15.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
15.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
16.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face		
16.75	hutt3	combatAnimation	r2	fire_3_single_medium_face		
17.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
17.75	chewie	posture		kneel		
18.25	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
18.75	hutt2	combatAnimation	chewie	fire_3_single_medium_face		
19.25	hutt3	combatAnimation	r2	fire_3_single_medium_face		
19.75	droid	tutorialComm	player	droid_loop_8	sound/vo_c3po_16c.snd	5
20.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
20.75	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
21.25	hanSolo	posture		kneel		
21.75	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face		
22.25	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face		
22.75	hutt2	combatAnimation	chewie	fire_3_single_medium_face
23.25	hutt3	combatAnimation	r2	fire_3_single_medium_face
23.75	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
24.25	chewie	posture		kneel
24.75	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
25.25	hutt2	combatAnimation	chewie	fire_3_single_medium_face
25.75	hutt3	combatAnimation	r2	fire_3_single_medium_face
26.25	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
26.75	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
27.25	hanSolo	posture		kneel
27.75	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
28.25	hutt1	combatAnimation	hanSolo	fire_3_single_medium_face
28.75	hutt2	combatAnimation	chewie	fire_3_single_medium_face
29.25	hutt3	combatAnimation	r2	fire_3_single_medium_face
29.75	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
30.25	chewie	posture		kneel
30.75	hanSolo	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
31.25	chewie	combatAnimationMultiple	"hutt1,hutt2,hutt3"	fire_3_single_medium_face
31.75	hanSolo	posture		kneel
