fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
5	drunk1	animation		tap_foot		
8	drunk1	animation		nod_head_multiple		
12	drunk1	animation		celebrate		
15	drunk1	animation		snap_finger1		
18	drunk1	animation		clap_rousing		
24	drunk1	moveTo	drunk_go2	run		
30	drunk1	faceTo	drunk_face1			
32	drunk1	animation		nod_head_multiple		
34	drunk1	animation		point_to_self		
38	drunk1	animation		bounce		
43	drunk1	animation		airguitar		
47	drunk1	animation		bounce		
51	drunk1	animation		bump		
55	drunk1	animation		celebrate		
59	drunk1	animation		clap_rousing
63	drunk1	animation		nervous
67	drunk1	animation		embarrassed
70	drunk1	moveTo	drunk_go1	run
76	drunk1	faceTo	drunk_face1	
120		goto		0
